# J2K model output
# 
#date/time	precip	mittemp	Soil_Temp_Layer	surfacetemp	rhum	rain	snow	solRad	netRad	potETP	netRain	netSnow	throughfall	interception	intercStorage	actETP	snowDepth	snowSWE	snowMelt	MPSsat	LPSsat	DPSact	MPSact	LPSact	percol	RD1	RD2	actRG1	actRG2	outRG1	outRG2	flowRD1	flowRD2	flowRG1	flowRG2	channelStorage	simRunoff	simRunoff_N	flowRD1_N	flowRD2_N	flowRG1_N	flowRG2_N
1992-11-01 07:30	0.0	-0.17546723128645197	5.944309663185404	1.441612148357815	90.39669951009024	0.0	0.0	2.2207474188116243	3.6855895045907086	0.15097939932860202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-02 07:30	3.387219587779046	1.0934874578688702	5.111902847522212	1.5183777388532618	80.18806903857907	2.619580327960561	0.767639259818485	2.4058988054717685	3.8242505183143143	0.3667597137605189	0.0	0.0	3.1872195877790457	0.2	0.0	0.20000000699545065	0.0	0.0	3.187219587779046	0.05902258482932584	0.0	0.0	3.1872195807835957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-03 07:30	1.3945563347095336	4.813868047906393	4.973591345037276	4.318913934637937	88.2820814090789	1.3945563347095336	0.0	2.6515400228306665	4.0083460377518145	0.2140030469663853	0.0	0.0	1.1945563347095336	0.2	0.0	0.20000000281923558	0.0	0.0	0.0	0.081005033661408	2.404574930135193E-7	0.0	4.374271817716032	3.125947409175751E-5	0.007319751965737878	0.0	0.0	0.0016527316744249063	0.005322297451067225	0.0	0.0	0.0	0.0	0.0	0.0	4.978063582776901E-4	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-04 07:30	0.0	4.118976288078707	4.819395163992504	4.087951659480029	88.35002934049993	0.0	0.0	3.944986164659953	1.5700382639141917	0.1181975184873689	0.0	0.0	0.0	0.0	0.0	3.29393109495868E-8	0.0	0.0	0.0	0.08100559212481112	5.2518822581179776E-11	0.0	4.374301974739801	6.8274469355533716E-9	1.0409141395306316E-6	0.0	0.0	0.001446375243819051	0.005216608365761692	0.0	0.0	0.0	0.0	0.0	0.0	8.109145577545673E-4	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-05 07:30	0.14365640881604086	6.910468601016944	5.000311664073726	5.7017418337730446	90.99763394279503	0.14365640881604086	0.0	4.280727161896019	1.8209338182135442	0.2974686494410455	0.0	0.0	0.0	0.14365640881604086	0.0	0.14365645168243635	0.0	0.0	0.0	0.08100559145309737	1.1471409320550504E-14	0.0	4.374301938467259	1.4912832116715656E-12	2.2734817657891874E-10	0.0	0.0	0.001265578389674766	0.0051122763637546035	0.0	0.0	0.0	0.0	0.0	0.0	0.0010960436460088223	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-06 07:30	0.0	8.09898433451669	5.32625805047748	6.662851205815914	87.50646064042074	0.0	0.0	4.725581812709123	2.1546704664016283	0.18081688345494182	0.0	0.0	0.0	0.0	0.0	5.0392397770337995E-8	0.0	0.0	0.0	0.08100559051993149	2.5056392036178928E-18	0.0	4.3743018880763005	3.2573309647032604E-16	4.9658462175570334E-14	0.0	0.0	0.0011073810909766326	0.005010030836515619	0.0	0.0	0.0	0.0	0.0	0.0	0.0013564864719966374	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-07 07:30	1.1417604934909404	7.290236027796347	5.387969918673026	5.607277521229184	86.78099457296322	1.1417604934909404	0.0	2.130770132905047	3.6089795894866796	0.15969252440709342	0.0	0.0	0.9417604934909405	0.2	0.04030747559290657	0.15969252440709342	0.0	0.0	0.0	0.09823663906426337	1.39004895672105E-6	0.0	5.304778509470222	1.807063643737365E-4	0.010875713693143095	0.0	0.0	0.0034245930972494855	0.012817718839303216	0.0	0.0	0.0	0.0	0.0	0.0	0.002334752195581102	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-08 07:30	0.0	4.5036895726254045	5.112658696903325	3.8856533033602916	88.12189776494532	0.0	0.0	2.315297578916488	3.747193953860755	0.38773854769384164	0.0	0.0	0.0	0.0	0.0	0.040307853943551075	0.0	0.0	0.0	0.09823983997528771	1.3148883056957904E-9	0.0	5.304951358665536	1.7093547974045276E-7	7.158178525789083E-6	0.0	0.0	0.002998135209993042	0.012566569277584717	0.0	0.0	0.0	0.0	0.0	0.0	0.0030196675274921166	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-09 07:30	0.0	2.4525055235226088	4.609888482544754	2.3875803381822207	85.4822231316175	0.0	0.0	2.5601981807211813	3.930766831787879	0.22606457736555136	0.0	0.0	0.0	0.0	0.0	2.4624315624350855E-7	0.0	0.0	0.0	0.09823983844969253	1.2440724657899172E-12	0.0	5.304951276283397	1.6172942055268925E-10	6.771123510194866E-9	0.0	0.0	0.0026233698376004013	0.012315242815414794	0.0	0.0	0.0	0.0	0.0	0.0	0.003645766274787826	0.0	0.0	0.0	0.0	0.0	0.0
1992-11-10 07:30	2.662391665699542	5.523406675553385	4.525277394064467	4.071932019061709	86.7999413311978	2.662391665699542	0.0	2.1245406203949346	3.5670479424492534	0.14943785504108406	0.0	0.0	2.462391665699542	0.2	0.05056214495891593	0.14943785504108406	0.0	0.0	0.0	0.14282594286125178	3.098205537291226E-5	0.0	7.712600914507597	0.004027667198478593	0.04967545991314437	0.0	0.0	0.013511703806761066	0.04818868285126397	0.0	0.0	0.0	0.0	0.0	0.0	0.007598352708371004	0.0	0.0	0.0	0.0	0.0	0.0
