# J2K model output
# 
#date/time	PercoN	InterflowN	SurfaceN	Denit_rate	Nitri_rate	NH4inp	Volati_rate	PlantupN	NO3_Pool	NH4_Pool	N_activ_pool	N_stabel_pool	residue_pool	N_residue_pool_fresh
1992-11-01 07:30	0.0	0.0	0.0	0.0	-0.017697850232688873	0.0	0.0	0.0	11.738548264398036	1.1925642380528927	41.78572779784641	2047.4999999999998	9.954959559571613	0.014932439339357418
1992-11-02 07:30	0.0	0.0	0.0	0.0	-0.001698454790650517	0.0	0.0	0.02000000069954506	11.725141537030462	1.1942626928435431	41.785742501640264	2047.5000000066207	9.905924843580477	0.014858887265370716
1992-11-03 07:30	4.508100702521062E-4	8.956725890354698E-6	0.0	0.0	0.0	0.0	0.0	0.020000000281923558	11.71322289465018	1.1942626928435431	41.78575756656954	2047.5000000204464	9.855662326840068	0.014783493490260103
1992-11-04 07:30	6.415347388273074E-8	1.274605689620714E-9	0.0	0.0	0.0	0.0	0.0	3.2939310949586795E-9	11.721763233394629	1.1942626928435431	41.785772546880125	2047.5000000416537	9.805657266858256	0.014708485900287387
1992-11-05 07:30	1.4004882654131563E-11	2.782499844989955E-13	0.0	0.0	-4.301957035766459E-6	0.0	0.0	0.014365645168243634	11.715933880094424	1.1942669948005789	41.785787444589275	2047.5000000702012	9.755903077845225	0.01463385461676784
1992-11-06 07:30	3.0598820240682338E-15	6.079394928129346E-17	0.0	0.0	-0.004511910069369128	0.0	0.0	5.039239777033799E-9	11.719963210208585	1.198778904869948	41.785802260916775	2047.5000001060482	9.70639582902181	0.014559593743532715
1992-11-07 07:30	6.694703547996698E-4	1.3301083661032376E-5	0.0	0.0	-0.004962668781702607	0.0	0.0	0.015969252440709344	11.707080693868258	1.2037415736516506	41.7858173254647	2047.500000149155	9.65603697998991	0.014484055469984866
1992-11-08 07:30	4.407417540922982E-7	8.756687883283563E-9	0.0	0.0	-0.001444905896183535	0.0	0.0	0.004030785394355107	11.71033557351308	1.2051864795478342	41.78583230279445	2047.5000001996432	9.605944254224372	0.014408916381336559
1992-11-09 07:30	4.1722124074605345E-10	8.289380685099342E-12	0.0	0.0	0.0	0.0	0.0	2.4624315624350855E-8	11.719064894002234	1.2051864795478342	41.785847192486514	2047.5000002574695	9.55611919276311	0.014334178789144664
1992-11-10 07:30	0.0030589794659704158	6.077601719411146E-5	0.0	0.0	0.0	0.0	0.0	0.014943785504108407	11.71020662722904	1.2051864795478342	41.7858628086233	2047.5000003225912	9.503848331000404	0.014255772496500606
