# J2K model output
# 
#date/time	catchmentNRD1_w	catchmentNRD2_w	catchmentNRG1_w	catchmentNRG2_w	catchmentSimRunoffN	sNO3_Pool	sNH4_Pool	sN_activ_pool	sN_stabel_pool	sum_Ninput	PercoN	sinterflowN	actN_up	Denit_rate	Volati_rate
1993-10-01 07:30	0.0	0.0	0.0	0.0	0.0	2.6234005853928465E-4	6.733343578774197E-5	0.010071430947915157	0.4934999999999999	0.0	0.0	0.0	2.9999999999999997E-5	0.0	2.281500502221455E-13
1993-10-02 07:30	0.0	0.0	0.0	0.0	0.0	2.55633944943976E-4	6.291819948798274E-5	0.010071434788637203	0.49350000000116445	1.9988730307540813E-5	0.0	0.0	2.9999999999999997E-5	0.0	2.378995833491016E-13
1993-10-03 07:30	0.0	0.0	0.0	0.0	0.0	2.3116262621062348E-4	5.8731079367658025E-5	0.010071438745804887	0.4935000000042108	4.434649754737899E-6	0.0	7.822951044901002E-9	2.9999999999999997E-5	0.0	2.295369052042555E-13
1993-10-04 07:30	0.0	0.0	0.0	0.0	0.0	2.0292799401411314E-4	5.4749856446490706E-5	0.010071442521253018	0.49350000000919625	1.4951639805531148E-7	0.0	1.1331409949284444E-9	2.9999999999999997E-5	0.0	2.2490279073647938E-13
1993-10-05 07:30	0.0	0.0	0.0	0.0	0.0	1.7426570444697737E-4	5.0875642663901496E-5	0.010071446099861724	0.49350000001603156	0.0	0.0	1.4239259926975902E-10	2.9999999999999997E-5	0.0	2.398440735805055E-13
1993-10-06 07:30	0.0	0.0	0.0	0.0	0.0	1.4663052094273366E-4	4.7182713803582075E-5	0.010071449546309636	0.4935000000246203	1.0300018532699237E-6	0.0	1.8648201057778746E-10	2.9999999999999997E-5	0.0	2.3269788340008167E-13
1993-10-07 07:30	0.0	0.0	0.0	0.0	0.0	1.1805448119838654E-4	4.369108327684919E-5	0.01007145257793141	0.49350000003489775	0.0	0.0	1.472460831111345E-11	2.9999999999999997E-5	0.0	2.1739831470078162E-13
1993-10-08 07:30	0.0	0.0	0.0	0.0	0.0	9.91450127691092E-5	4.046657334011772E-5	0.01007145461496343	0.4935000000466606	9.238772132652744E-6	0.0	4.0447972857948355E-9	2.9999999999999997E-5	0.0	1.8432683181133496E-13
1993-10-09 07:30	0.0	0.0	0.0	0.0	0.0	7.184225196998045E-5	3.7498027249447205E-5	0.01007145683614977	0.49350000005942146	6.312914584557597E-7	0.0	5.724308804040308E-10	2.9999999999999997E-5	0.0	1.5537298867037477E-13
1993-10-10 07:30	0.0	4.94587288473E-313	0.0	0.0	4.945872884725116E-309	4.853844224449669E-5	3.473882548765628E-5	0.010071457222421748	0.4935000000732706	4.484909196922532E-6	0.0	2.0284133389303033E-9	2.9999999999999997E-5	0.0	1.3410015343141008E-13
1993-10-11 07:30	0.0	0.0	0.0	0.0	0.0	4.752637397615135E-6	3.216754000051355E-5	0.010071457208542918	0.4935000000873089	4.7430563026675756E-7	0.0	9.654439737659188E-11	4.6605593167501755E-5	0.0	1.1766947286588726E-13
1993-10-12 07:30	0.0	0.0	0.0	0.0	0.0	4.856825450415416E-6	2.974601400880892E-5	0.010071457194665151	0.49350000010134015	7.911586802819611E-7	0.0	3.8785001696976845E-11	3.292245046712777E-6	0.0	1.0693531956613903E-13
1993-10-13 07:30	0.0	0.0	0.0	0.0	0.0	4.880796471002497E-6	2.7494979687339294E-5	0.010071457180789898	0.4935000001153645	1.0329888668649777E-6	0.0	2.8283868523824274E-11	3.4820414191672533E-6	0.0	9.207664928608161E-14
1993-10-14 07:30	0.0	0.0	0.0	0.0	0.0	7.0524444664740434E-6	2.541171634786532E-5	0.01007145716692393	0.493500000129382	3.3474702747971525E-6	0.0	2.1219648257279355E-10	3.596151577224055E-6	0.0	7.751114100076435E-14
1993-10-15 07:30	0.0	0.0	0.0	0.0	0.0	9.809357908416607E-6	2.3571951183214663E-5	0.010071457153076554	0.49350000014339246	6.224845242169317E-6	0.0	1.979115577284353E-9	5.852197824345326E-6	0.0	5.35424567352035E-14
1993-10-16 07:30	0.0	0.0	0.0	0.0	0.0	3.8857260207529E-6	2.19402692937048E-5	0.010071457139233844	0.49350000015739603	5.316138597522187E-7	0.0	1.3332725581290352E-10	8.701433393824306E-6	0.0	3.732311777278896E-14
1993-10-17 07:30	0.0	0.0	0.0	0.0	0.0	3.137335940664486E-6	2.048546491251307E-5	0.01007145712539432	0.4935000001713926	0.0	0.0	2.0022505236967733E-11	2.859889050224862E-6	0.0	2.600106920708546E-14
1993-10-18 07:30	0.0	0.0	0.0	0.0	0.0	2.9477322720495344E-6	1.9186945858765662E-5	0.010071457111558607	0.49350000018538237	0.0	0.0	3.9923024448393365E-12	2.185299443940364E-6	0.0	1.7351504426651114E-14
1993-10-19 07:30	0.0	0.0	0.0	0.0	0.0	2.797325685554557E-6	1.8013617473264616E-5	0.010071457097727457	0.49350000019936524	0.0	0.0	8.078492077686487E-13	2.064618770310056E-6	0.0	1.1802226203823636E-14
1993-10-20 07:30	0.0	0.0	0.0	0.0	0.0	5.009569340480592E-6	1.6940994218575486E-5	0.010071457083906122	0.49350000021334106	2.2820473165350076E-6	0.0	1.4701636849242423E-10	1.976284194391642E-6	0.0	8.273659861436353E-15
1993-10-21 07:30	0.0	0.0	0.0	0.0	0.0	2.9082421308917945E-6	1.595816958363516E-5	0.010071457070089026	0.4935000002273101	2.9903279611062296E-7	0.0	1.4094201602005203E-11	4.243633023472793E-6	0.0	5.4493532881237664E-15
1993-10-22 07:30	0.0	0.0	0.0	0.0	0.0	8.841332048578609E-6	1.5056407313627008E-5	0.010071457056291082	0.4935000002412721	6.184120121575299E-6	0.0	2.0502736111772616E-9	2.1936936377610904E-6	0.0	2.7578267750791463E-15
1993-10-23 07:30	0.0	9.324999008103689E-125	0.0	0.0	9.324999008103689E-121	2.407235916272759E-5	1.40946937030668E-5	0.010071457042503904	0.49350000025522733	2.145631249002154E-5	0.0	1.4456111068426706E-7	8.174425149610021E-6	0.0	7.448754260641081E-16
1993-10-24 07:30	0.0	7.758291308767236E-76	0.0	0.0	7.758291308767236E-72	1.0559381753501608E-5	1.334076343166929E-5	0.010071457028726942	0.4935000002691756	8.016170161802335E-6	0.0	4.515877214630806E-8	2.342774433705055E-5	0.0	0.0
1993-10-25 07:30	0.0	6.521556658720375E-61	0.0	0.0	6.521556658720376E-57	2.6373069163105517E-6	1.2650227093671324E-5	0.010071457014953466	0.49350000028311697	1.4951639805531148E-7	0.0	7.532634630525535E-10	9.975525542237096E-6	0.0	0.0
1993-10-26 07:30	0.0	7.693294544365692E-61	0.0	0.0	7.693294544365692E-57	2.404508520133216E-6	1.2017743243794567E-5	0.010071457001184466	0.49350000029705154	0.0	0.0	1.417750459770709E-10	2.0941827316837135E-6	0.0	0.0
1993-10-27 07:30	0.0	2.9270597827818812E-55	0.0	0.0	2.927059782781881E-51	2.3278140470923645E-6	1.1430464005221526E-5	0.010071456987419401	0.4935000003109792	0.0	0.0	3.082472430483307E-11	1.8965453694174906E-6	0.0	0.0
1993-10-28 07:30	0.0	2.4387738263192195E-51	0.0	0.0	2.4387738263192196E-47	2.274827816124181E-6	1.0876267385875482E-5	0.01007145697365936	0.4935000003248999	0.0	0.0	7.39227220368149E-12	1.8519690877963569E-6	0.0	0.0
1993-10-29 07:30	0.0	2.201914170061456E-48	0.0	0.0	2.201914170061456E-44	2.3213551584771655E-6	1.0370294576633339E-5	0.010071456959904381	0.4935000003388137	1.1421325432862163E-7	0.0	1.8804815420060952E-12	1.828702814247818E-6	0.0	0.0
1993-10-30 07:30	0.0	4.762245991668662E-46	0.0	0.0	4.7622459916686616E-42	2.1387997679410153E-6	9.907681087320897E-6	0.010071456946153948	0.4935000003527206	0.0	0.0	3.936017319997137E-13	1.9040314549050419E-6	0.0	0.0
1993-10-31 07:30	0.0	6.291130193604288E-41	0.0	0.0	6.291130193604289E-37	2.440234538226424E-6	9.485242795334696E-6	0.010071456932408938	0.4935000003666208	3.5717806202102186E-7	0.0	1.1135558503262418E-13	1.748297475507854E-6	0.0	0.0
1993-11-01 07:30	0.0	1.6925225844900567E-39	0.0	0.0	1.6925225844900566E-35	2.0153236588674817E-6	9.101253224886123E-6	0.010071456918668068	0.49350000038051395	0.0	0.0	1.848415968686814E-14	2.07478632538724E-6	0.0	0.0
1993-11-02 07:30	0.0	2.823766961450255E-38	0.0	0.0	2.823766961450255E-34	2.4056149277317322E-6	8.746945457315791E-6	0.010071456904932953	0.4935000003944003	4.319362610486777E-7	0.0	1.0009373700732998E-12	1.673318084553177E-6	0.0	0.0
1993-11-03 07:30	0.0	3.2567931779089234E-37	0.0	0.0	3.256793177908923E-33	2.6317619933494625E-6	8.41093559323508E-6	0.010071456891204263	0.4935000004082798	6.811302578075301E-7	0.0	9.398659258456264E-12	2.0852060170542864E-6	0.0	0.0
