# J2K model output
# 
#date/time	precip	tmeam	rhum	sunh	rain	snow	solRad	netRad	potETP
1979-11-01 07:30	4.16	3.3	100.0	0.0	4.16	0.0	3.051586534743829	4.462260651804556	0.23813135655696682
1979-11-02 07:30	0.81	2.35	95.94203986595224	4.0	0.81	0.0	5.597501374235782	2.7229619533986806	0.2888344839375228
1979-11-03 07:30	0.0	0.55	92.98635697401323	2.0	0.0	0.0	4.23679662018894	3.5379822573673927	0.38253326068010823
1979-11-04 07:30	16.05	-0.1	87.89954140679399	0.0	6.821249999999999	9.228750000000002	2.904255061695722	4.44678847225936	0.5133146063723708
1979-11-05 07:30	16.57	1.6	97.99944804076264	0.0	14.0845	2.4855000000000005	2.8570377057530347	4.345613101433092	0.2078399818268537
1979-11-06 07:30	13.78	0.35	98.90877803002016	0.0	7.40675	6.37325	2.8107859109833777	4.314850660979179	0.1631642362602935
1979-11-07 07:30	25.61	-0.55	97.9733981532045	1.0	8.003125	17.606875	3.3813356126547465	3.8005174660320757	0.19374324248584268
1979-11-08 07:30	18.48	3.0	96.0255802557614	1.0	18.48	0.0	3.330690074063671	3.7486408430027556	0.28756403698434024
1979-11-09 07:30	2.01	1.25	99.04362491776877	0.0	1.5326249999999997	0.47737500000000005	2.6779267787846233	4.208182811682461	0.19712114865124108
1979-11-10 07:30	1.68	-0.95	98.09282229289482	0.0	0.3569999999999998	1.3230000000000002	2.635637377032364	4.194022365734611	0.24004182676304117
1979-11-11 07:30	0.0	-3.3	95.97626096343062	1.0	0.0	0.0	3.1853817818889687	3.6396364108532255	0.23876762146966624
1979-11-12 07:30	8.72	-4.75	94.93333954366899	2.7	0.0	8.72	4.133847413606532	2.6698962645820408	0.18530098899612474
1979-11-13 07:30	3.37	-2.65	97.11575834188304	1.2	0.0	3.37	3.210005787842066	3.4466511094699364	0.23589749216884265
1979-11-14 07:30	2.32	-1.7	97.10179382279	0.0	0.05799999999999979	2.262	2.47668503215014	4.081828897225633	0.24397471322057013
1979-11-15 07:30	9.38	-0.6	98.95965184318818	0.0	2.8139999999999996	6.566000000000002	2.4395337614096975	4.041153971003721	0.21088183046203596
1979-11-16 07:30	3.92	-2.2	98.89137713042646	0.0	0.0	3.92	2.4034296812763656	4.0192805867265164	0.17907938913722574
1979-11-17 07:30	0.0	-2.7	94.96732720985351	6.8	0.0	0.0	6.157506132111201	0.0	0.10210933152127415
1979-11-18 07:30	0.21	-3.6	96.9864555942396	0.0	0.0	0.21	2.334384244033472	3.976649765134767	0.20352896436787982
1979-11-19 07:30	0.0	-2.15	99.02322885513904	0.4	0.0	0.0	2.5202424080713515	3.6998976285520113	0.21871791084728984
1979-11-20 07:30	1.59	-1.45	99.06788180171684	0.0	0.13912499999999986	1.4508750000000001	2.2695866039621033	3.916301924709501	0.1974377620853604
1979-11-21 07:30	4.06	-2.1	98.91416088034686	0.0	0.0	4.06	2.238790702575942	3.8955163674976854	0.20818895524179923
1979-11-22 07:30	0.0	-3.4	95.87589044019352	0.2	0.0	0.0	2.3155956005435607	3.7601953526041116	0.27295148813054676
1979-11-23 07:30	0.0	-4.45	97.98890327606887	0.0	0.0	0.0	2.1804213259174836	3.8556069204909713	0.1805581730500754
1979-11-24 07:30	0.0	-4.35	98.9697572108004	0.0	0.0	0.0	2.152853414365082	3.8310002330903847	0.14925700594747793
1979-11-25 07:30	0.0	-3.3	97.01665403620494	0.0	0.0	0.0	2.1263665159213745	3.8207216609194425	0.21287289360902234
1979-11-26 07:30	13.62	-1.85	99.06861734552554	0.0	0.0	13.62	2.1009626237912	3.790890182973264	0.11146953523469212
1979-11-27 07:30	3.58	1.1	97.00401837223934	0.2	2.5955	0.9845000000000002	2.1789828448020945	3.6362584078584046	0.26975341029687494
1979-11-28 07:30	0.32	1.7	100.0	0.0	0.28	0.04000000000000002	2.053410472778126	3.7306040852462665	0.13901800404179787
1979-11-29 07:30	0.0	4.95	81.05115170863556	4.9	0.0	0.0	4.502895050337913	0.3013321220242968	0.8166055499322139
1979-11-30 07:30	2.36	2.75	81.067999938175	0.2	2.36	0.0	2.1104111466316304	3.6614007923695135	0.8434968837704311
1979-12-01 07:30	14.91	2.95	100.0	0.0	14.91	0.0	1.9902399485931557	3.670412380908414	0.1207336561836938
1979-12-02 07:30	0.0	2.95	100.0	0.0	0.0	0.0	1.9713620654343356	3.656253968539299	0.12247216312560491
1979-12-03 07:30	0.0	3.55	94.97273309371637	4.9	0.0	0.0	4.363515686345241	0.2354915413198957	0.19975489269534802
1979-12-04 07:30	0.0	4.1	99.04132037775919	0.8	0.0	0.0	2.3281587171305436	3.0702278587848504	0.1709945320041444
1979-12-05 07:30	4.99	4.5	83.964500208841	1.9	4.99	0.0	2.845717230499446	2.29761034884889	0.7585059388321315
1979-12-06 07:30	15.22	5.0	100.0	0.0	15.22	0.0	1.9067591700430246	3.5796828035325596	0.18617649666545055
1979-12-07 07:30	2.46	5.9	99.9778729484954	0.0	2.46	0.0	1.8933370662910278	3.5544679309672826	0.15943498270829032
1979-12-08 07:30	6.14	3.85	100.0	0.0	6.14	0.0	1.881006788763679	3.5772630364861064	0.16947940613048393
1979-12-09 07:30	15.83	2.5	100.0	0.0	15.83	0.0	1.8697684785620814	3.5850363777794687	0.11748002056281669
1979-12-10 07:30	39.76	3.65	99.00712605921035	0.0	39.76	0.0	1.859622278592715	3.5701206621976933	0.13894023624155907
1979-12-11 07:30	28.22	3.3	99.05163573376066	0.0	28.22	0.0	1.8505683501959842	3.5673658359699196	0.14649211610255342
1979-12-12 07:30	0.0	-3.35	96.05729916310791	1.3	0.0	0.0	2.458370742515224	2.636637536286333	0.1890286968242118
1979-12-13 07:30	7.41	-4.85	97.0733481785915	0.0	0.0	7.41	1.8357381366132213	3.599945081928693	0.17790407296172558
1979-12-14 07:30	5.73	-0.55	99.04531717019799	0.0	1.7906250000000001	3.939375	1.8299623979285566	3.5833142517717658	0.15242388964023368
1979-12-15 07:30	13.78	0.6	99.00337769056246	0.0	8.267999999999999	5.5120000000000005	1.8252800475146296	3.5736195202150176	0.12718883430497377
1979-12-16 07:30	8.0	-1.1	98.01052860759013	0.0	1.3999999999999995	6.6000000000000005	1.82169154145876	3.5844932677189467	0.14691288350175238
1979-12-17 07:30	10.94	-0.15	99.04722627601721	0.0	4.51275	6.42725	1.8191974247308629	3.5732723999946483	0.12351306157290029
1979-12-18 07:30	8.65	-1.4	96.90209684931051	0.0	0.8649999999999999	7.785	1.8177983372993087	3.5879532924885553	0.1938035854778896
1979-12-19 07:30	1.51	-2.35	97.99736196528112	0.0	0.0	1.51	1.817495018482313	3.584238439807161	0.20231739277874006
1979-12-20 07:30	1.21	-5.0	96.9546642647532	0.0	0.0	1.21	1.8182883094988147	3.5869106509936746	0.18676612099422313
1979-12-21 07:30	1.21	-6.55	96.02522645606518	0.0	0.0	1.21	1.8201791541938632	3.5855087800775296	0.19600826392240264
1979-12-22 07:30	0.57	-3.15	97.01694840959496	0.0	0.0	0.57	1.8231685979248637	3.5933793383441204	0.18513846299863765
1979-12-23 07:30	0.47	-1.25	97.91699880176851	0.0	0.06462499999999997	0.405375	1.8272577846064975	3.5896092060963536	0.16103464527139713
1979-12-24 07:30	2.39	-3.4	97.9715383186677	0.0	0.0	2.39	1.8324479519236043	3.595984534885565	0.15752802619050582
1979-12-25 07:30	0.57	-2.75	99.05613786128976	0.0	0.0	0.57	1.8387404247327057	3.595698016389722	0.1357235519464976
1979-12-26 07:30	0.0	-3.15	95.98759086678758	3.6	0.0	0.0	3.5561692143204757	0.9129595655059708	0.12575910107898558
1979-12-27 07:30	0.0	-4.5	96.92467960228095	0.0	0.0	0.0	1.8546379701073683	3.6156295391702753	0.1852180461673405
1979-12-28 07:30	4.47	-2.35	97.99736196528112	0.0	0.0	4.47	1.8642460442133943	3.619301709105472	0.1483571904996577
1979-12-29 07:30	21.6	-2.5	98.0575441961482	0.0	0.0	21.6	1.8749624016765192	3.627226253752221	0.1517891313070864
1979-12-30 07:30	17.85	-3.9	99.08693919987877	0.0	0.0	17.85	1.88678864366917	3.6315343754064506	0.11840529805088318
1979-12-31 07:30	5.01	-4.3	98.05644370258142	0.0	0.0	5.01	1.8997263834305391	3.6450839525283953	0.16819864944084867
1980-01-01 07:30	11.83	-4.55	98.12708534282825	0.0	0.0	11.83	1.9170399794217488	3.657287503235057	0.16013471911794483
1980-01-02 07:30	2.95	-6.35	93.98242679199062	0.4	0.0	2.95	2.1286031353781887	3.389798807957583	0.22947312287736
1980-01-03 07:30	0.9	-8.05	92.92667924951436	1.6	0.0	0.9	2.737775971363413	2.542143987035208	0.20187656907429602
1980-01-04 07:30	5.95	-8.55	94.92247364966816	0.1	0.0	5.95	2.016784585470926	3.6161150823287427	0.16503128339338005
1980-01-05 07:30	2.24	-4.2	99.01973223424926	0.3	0.0	2.24	2.1358688107886254	3.496106947079328	0.12534962086077212
1980-01-06 07:30	6.48	-2.3	99.10625467852503	0.0	0.0	6.48	2.006252892662457	3.72055628313299	0.15112312798081678
1980-01-07 07:30	0.74	-2.25	97.06728832174461	0.0	0.0	0.74	2.0274620131152306	3.74596696266749	0.29276057600219807
1980-01-08 07:30	0.0	-3.75	98.03037737660243	0.0	0.0	0.0	2.049796213530269	3.758495761820398	0.234864627641224
1980-01-09 07:30	0.0	-5.35	97.93366126331502	0.4	0.0	0.0	2.2786878550111465	3.5032701111194444	0.20229211360246585
1980-01-10 07:30	1.81	-7.75	98.06801935595595	0.0	0.0	1.81	2.097843221842575	3.7792449305725757	0.14657338228255318
1980-01-11 07:30	0.21	-10.85	97.01026814901678	0.5	0.0	0.21	2.3844960767881807	3.4543483143509714	0.13195153261232215
