#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
30.04.1993	07:30	9.124334678	10.55274807	8.358766289
01.05.1993	07:30	9.277224049	10.26370898	8.129820221
02.05.1993	07:30	8.217256379	10.11636222	8.013107761
03.05.1993	07:30	8.12684301	8.638944455	6.842854317
04.05.1993	07:30	7.366174283	8.717441405	6.905031264
05.05.1993	07:30	7.290994223	8.768377775	6.945377647
06.05.1993	07:30	8.232899137	11.1698293	8.847552506
07.05.1993	07:30	7.241780177	8.819444592	6.985827356
08.05.1993	07:30	10.7442179	12.98517364	10.28547549
09.05.1993	07:30	10.07812045	11.27367422	8.929807424
10.05.1993	07:30	8.391823939	10.29244916	8.152585137
11.05.1993	07:30	9.469156961	12.40279802	9.82417938
12.05.1993	07:30	9.646121958	10.11122757	8.009040637
13.05.1993	07:30	8.507106769	9.595969087	7.600907591
14.05.1993	07:30	6.990175289	8.481872738	6.718438784
15.05.1993	07:30	8.537261641	11.10868319	8.799119047
16.05.1993	07:30	7.530361768	10.64932714	8.43526597
17.05.1993	07:30	5.677747351	7.262060523	5.752233095
18.05.1993	07:30	8.470921388	6.884330845	5.45303576
19.05.1993	07:30	7.504535162	9.082072677	7.193853433
20.05.1993	07:30	7.862302218	9.241798941	7.320371615
21.05.1993	07:30	6.631519807	8.711697987	6.900481938
22.05.1993	07:30	5.621218878	7.817889407	6.192501706
23.05.1993	07:30	6.435344174	8.800206015	6.970588598
24.05.1993	07:30	5.002193093	6.815047293	5.398156688
25.05.1993	07:30	6.766281983	9.748194869	7.721484689
26.05.1993	07:30	5.159283459	6.869719441	5.441462157
27.05.1993	07:30	4.454911159	6.929722107	5.488989897
28.05.1993	07:30	4.203437106	5.968871046	4.727905731
29.05.1993	07:30	3.500263816	6.452298196	5.110825379
30.05.1993	07:30	3.055194668	4.324401078	3.42533127
31.05.1993	07:30	4.791145107	6.293739155	4.985231746
01.06.1993	07:30	6.586523571	8.305272501	6.578554832
02.06.1993	07:30	6.339238438	7.789964271	6.170382379
03.06.1993	07:30	5.361654312	6.410362417	5.077608308
04.06.1993	07:30	6.005238831	8.058259104	6.382897052
05.06.1993	07:30	5.96465976	7.362191363	5.831546112
06.06.1993	07:30	5.298178657	6.246423596	4.947753385
07.06.1993	07:30	4.297159118	4.383864966	3.472432247
08.06.1993	07:30	4.897233844	4.459305504	3.532188229
09.06.1993	07:30	7.169347339	8.516721507	6.746042277
10.06.1993	07:30	5.729545491	6.259677217	4.958251496
11.06.1993	07:30	5.909347722	5.173466946	4.097871077
12.06.1993	07:30	3.221674612	3.596154085	2.848491345
13.06.1993	07:30	4.850816644	7.785473321	6.166825125
14.06.1993	07:30	6.502122279	8.9317069	7.074749633
15.06.1993	07:30	6.261412763	8.827263316	6.992020519
16.06.1993	07:30	3.938560243	6.193479867	4.905816985
17.06.1993	07:30	2.927796295	4.647720785	3.681430805
18.06.1993	07:30	3.610684608	5.250395724	4.158805885
19.06.1993	07:30	4.850473927	6.83672138	5.415324598
20.06.1993	07:30	1.839256647	7.450663359	5.901624231
21.06.1993	07:30	2.819860405	6.043010244	4.78663093
22.06.1993	07:30	3.011834267	5.11040688	4.04792159
23.06.1993	07:30	2.977215482	4.053574848	3.210811493
24.06.1993	07:30	3.919293141	4.693781983	3.717915594
25.06.1993	07:30	6.607572503	9.905151464	7.845809035
26.06.1993	07:30	7.427571995	9.907046997	7.847310475
27.06.1993	07:30	5.559301714	7.090056718	5.615989947
28.06.1993	07:30	5.609145491	7.087115918	5.613660558
29.06.1993	07:30	5.001771275	6.727550141	5.328850737
30.06.1993	07:30	6.906596389	8.032078578	6.36215962
01.07.1993	07:30	6.251256802	8.24582477	6.531466653
02.07.1993	07:30	5.968801177	9.513990139	7.535972575
03.07.1993	07:30	6.637502052	8.15044942	6.455920429
04.07.1993	07:30	7.168560789	8.783502424	6.957357787
05.07.1993	07:30	6.751947191	7.957338511	6.302958476
06.07.1993	07:30	7.506372026	9.886964182	7.831403001
07.07.1993	07:30	5.843566141	7.49298062	5.935143471
08.07.1993	07:30	5.226274603	6.231676094	4.93607198
09.07.1993	07:30	5.166433336	5.979052198	4.735970158
10.07.1993	07:30	4.347509919	5.619418991	4.451106926
11.07.1993	07:30	5.357983678	5.509407186	4.363967258
12.07.1993	07:30	6.132406413	7.188065843	5.693622367
13.07.1993	07:30	7.194855604	11.28278119	8.937020992
14.07.1993	07:30	5.796907864	6.459352292	5.116412884
15.07.1993	07:30	5.4269028	5.42955897	4.300719982
16.07.1993	07:30	6.590218679	8.224065103	6.514230956
17.07.1993	07:30	6.708883916	8.308597636	6.58118865
18.07.1993	07:30	7.946423038	7.946972507	6.294747629
19.07.1993	07:30	8.567937537	10.23235036	8.104981254
20.07.1993	07:30	6.991871622	8.829358931	6.993680442
21.07.1993	07:30	7.732474491	10.27825354	8.141340873
22.07.1993	07:30	7.600104908	9.56593008	7.57711388
23.07.1993	07:30	6.106156966	7.872248523	6.235559225
24.07.1993	07:30	7.316212917	9.102280241	7.209859719
25.07.1993	07:30	8.296844441	10.49278521	8.311270082
26.07.1993	07:30	6.752050556	7.598013109	6.018339054
27.07.1993	07:30	4.913590537	5.414641369	4.288903842
28.07.1993	07:30	5.324446735	7.576000324	6.000902864
29.07.1993	07:30	5.977915674	6.866442352	5.438866395
30.07.1993	07:30	7.746383983	9.269408834	7.34224124
31.07.1993	07:30	6.369345347	8.305010379	6.578347206
01.08.1993	07:30	4.706067438	5.355825035	4.242315788
02.08.1993	07:30	5.038339947	6.136436658	4.860633413
03.08.1993	07:30	5.705034491	7.088609711	5.614843782
04.08.1993	07:30	6.50423717	7.949019922	6.296369373
05.08.1993	07:30	5.76231846	7.461683321	5.910353074
06.08.1993	07:30	9.108427172	10.70276888	8.47759684
07.08.1993	07:30	7.853482417	6.32583437	5.010654166
08.08.1993	07:30	9.439469445	9.264626902	7.338453502
09.08.1993	07:30	9.321646282	10.57020564	8.372594321
10.08.1993	07:30	9.097218797	10.52380506	8.335840713
11.08.1993	07:30	8.763076179	8.309651862	6.582023696
12.08.1993	07:30	8.351856812	9.744408323	7.71848539
13.08.1993	07:30	5.158198917	5.206410383	4.12396537
14.08.1993	07:30	4.441332122	5.832296065	4.619725536
15.08.1993	07:30	4.420589698	5.416134401	4.290086464
16.08.1993	07:30	3.741022133	4.48359737	3.551429666
17.08.1993	07:30	2.964115222	3.616537999	2.864637316
18.08.1993	07:30	3.951733052	5.157285827	4.085054113
19.08.1993	07:30	4.668264254	5.374219563	4.25688598
20.08.1993	07:30	3.80967364	4.840634621	3.834236657
21.08.1993	07:30	1.858812406	3.142009277	2.488766059
22.08.1993	07:30	6.88913815	8.317744224	6.588433606
23.08.1993	07:30	6.346948079	8.732135055	6.916670013
24.08.1993	07:30	5.906862824	6.576974916	5.209581035
25.08.1993	07:30	5.198055928	6.364882537	5.041583977
26.08.1993	07:30	5.71216603	7.087954613	5.614324883
27.08.1993	07:30	4.28104414	5.057704359	4.006176251
28.08.1993	07:30	4.700771285	5.579387963	4.419398597
29.08.1993	07:30	8.174823195	9.782755415	7.748859883
30.08.1993	07:30	7.368271105	8.386967594	6.643265008
31.08.1993	07:30	8.094638041	9.403316605	7.448308755
01.09.1993	07:30	6.668806447	8.586458419	6.801280453
02.09.1993	07:30	6.655873573	7.529233498	5.963859151
03.09.1993	07:30	5.949677561	6.677657706	5.289331248
04.09.1993	07:30	3.880287711	5.296073353	4.194986852
05.09.1993	07:30	2.738722211	3.862991217	3.059851381
06.09.1993	07:30	7.749149948	10.44552433	8.27383503
07.09.1993	07:30	6.831135594	8.116938542	6.429376671
08.09.1993	07:30	4.29022945	5.091097547	4.032626788
09.09.1993	07:30	3.644859383	4.404198362	3.488538204
10.09.1993	07:30	3.141434347	4.063381004	3.218578889
11.09.1993	07:30	2.69603944	3.208465011	2.541405233
