#rain.dat		rainfall																						
@dataValueAttribs																								
rain	0	9999	mm																					
@dataSetAttribs																								
missingDataVal	-9999																							
dataStart	01.02.1993 07:30																							
dataEnd	31.12.1999 07:30																							
tres	d																							
@statAttribVal																								
name	Serala	New Agatha	Monavein	Mamathola	Thabina	Letaba	Berlyn	Haenertsburg	Letaba Drift	Broederstrom	Glenshiel	Stampblokfo	Eiland	Black Hilss	Modjadji Na	Merensky	Zomerkomst	Duiwelskloo	Westphalia	Vergelegen	Belvedere	De Hoek	Kondowi	
ID	635873W	679267W	679268W	679209W	679508W	679562A	679654W	678776W	679086W	678858W	678836W	678863W	680280W	680225W	679608W	679227W	679197W	679194W	679164W	679141W	679135W	679019W	680494W	
08.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09.03.1993	7:30	0	0	0	0	0	0	0	0	0	2.5	5	0	0	0	0	0	0	0.9	0	0.3	0	2	0
10.03.1993	7:30	0	0.2	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	2	0
11.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.03.1993	7:30	3	0.4	3.5	0	0	10.2	0	0	0	5.5	1.5	2	0	0	0	0.5	0	0	0	1.8	0	3	0
16.03.1993	7:30	0	12	7.6	27.5	5	10.2	0	0	12.6	29	9	24.5	0	0	8.5	12.5	5.5	10.6	9.1	14	0	18.5	0
17.03.1993	7:30	0	0	0.1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
18.03.1993	7:30	0	1	0.5	0	0	10.2	0	0	0	0.5	0	0	0	0	0	2	1	0.9	0	0.1	0	0	0
19.03.1993	7:30	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.03.1993	7:30	0	0.7	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.03.1993	7:30	0	0	0	0	0	0	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
22.03.1993	7:30	11.5	30	28.4	30.5	8	10.2	6.5	4	8.2	13.5	17.5	29.5	0	0.5	0	14.5	10.5	6	12.1	16	10	25	0
23.03.1993	7:30	0	6	4.6	5.5	2.5	10.2	1.5	1	4.5	0	4	3	0	0	18	3.5	3.5	3	3.1	26.5	15.5	7.5	6.9
24.03.1993	7:30	0	25	0.1	2.5	0	0	0	0	0	0	0	5	3.5	10.5	0	0	0	0.2	0	4	0	0	4.5
25.03.1993	7:30	0	0	11.4	0	5.5	10.2	20	6	14.4	11.7	6	0	0	0	0	0	13	19.1	17	18	0	7	13.3
26.03.1993	7:30	0	0	0.4	0	0	0	0	0	0	0	1	0	0	0	24	0	0	4.4	0	5	0	0	0
27.03.1993	7:30	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
28.03.1993	7:30	5	0	0.1	0	0	10.2	0	4	0	0	0	0	0	0	0	0	0	0.3	0	0.5	0	0	0
29.03.1993	7:30	0	1.5	0.6	0	0.5	10.2	0	1	2.8	3.7	2	3	0	0	0	1	2.2	1.1	0	2	0	0	0
30.03.1993	7:30	0	1.2	2.6	4.5	0.4	0	3.5	0	0	0	0	0	0	0	0	7	0	0	0	2.5	0	0	5.5
31.03.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0
01.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04.04.1993	7:30	0	0	0	0	0	0	0	0.3	0	0	0.5	0	0	0	0	0	0	0	0	1.6	0	0	0
05.04.1993	7:30	0	6	5.9	0	0	0	0	0	0.4	16.5	7	5.5	0	0	0	0	0	1	0	0	0	0	0
06.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0
07.04.1993	7:30	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09.04.1993	7:30	3	0	0.1	0	0	0	0	0	0	0	1.5	2	0	0	0	0	0	0	0	0	0	0	0
10.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	3.5	1.5	0	0	0	0	0	0	0	0.2	0	0	0
11.04.1993	7:30	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0
12.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.04.1993	7:30	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.04.1993	7:30	0	0	0	0	0	0	0	5	0	0	1.5	0	0	0	0	0.2	0	14.5	0	3.5	0	0	0
17.04.1993	7:30	14.5	0	4.7	0	0	5.4	2	7	10.4	7.5	8.5	5.5	2	8	0	9	2.5	2.5	0	0.5	0	0	2.6
18.04.1993	7:30	0	7	1.9	0	0	7.6	3.5	1	0.2	5.2	1.5	3	0	0	0	26.5	28	2.5	6.5	4	0	27	3.2
19.04.1993	7:30	0	4.5	4.5	0	3	4.9	8	0	0.3	2.4	2	1	0	0	6.5	3.2	0	3.1	0	9	0	5.5	5.1
20.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.04.1993	7:30	2.3	0.8	1	0	0	0	0	2	3.8	2.5	2.5	7.5	0	0	0	0	0	0.4	0	11	0	0	0
22.04.1993	7:30	0	0	0.6	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
23.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.04.1993	7:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.04.1993	7:30	9	0	0	0	0	0	0	6	0	0	0	0	2.5	2.5	0	0	0	0	0	0	0	0	2.6
