#rhum.dat relative Humidity 									
@dataValueAttribs									
rhum	0	100	%						
@dataSetAttribs									
missingDataVal	-99								
dataStart	01.01.1970 07:30								
dataEnd	31.12.2000 07:30								
tres	d								
@statAttribVal									
name	MIESITZ	SCHLEIZ	GREIZ-DOELA	PLAUEN (MNS	PAUSA-UNTER	GERA-Leumnitz			
ID	4218	4234	4420	4420	4232	-9999			
elevation	340	501	270	386	442	311.0			
x	4488211.276	4485831.93	4512945.667	4509438.51	4500000	4509438.5			
y	5621819.645	5603361.446	5610699.374	5594007.771	5607012.859	5638819.6			
dataColumn	1	2	3	4	5	6			
@dataVal									
30.03.1970	07:30	-99	-99	-99	81	-99	76								
31.03.1970	07:30	-99	-99	-99	80	-99	78								
01.04.1970	07:30	-99	-99	-99	74	-99	75								
02.04.1970	07:30	-99	-99	-99	78	-99	77								
03.04.1970	07:30	-99	-99	-99	86	-99	87								
04.04.1970	07:30	-99	-99	-99	80	-99	84								
05.04.1970	07:30	-99	-99	-99	82	-99	85								
06.04.1970	07:30	-99	-99	-99	65	-99	68								
07.04.1970	07:30	-99	-99	-99	79	-99	76								
08.04.1970	07:30	-99	-99	-99	85	-99	77								
09.04.1970	07:30	-99	-99	-99	96	-99	94								
10.04.1970	07:30	-99	-99	-99	82	-99	83								
11.04.1970	07:30	-99	-99	-99	78	-99	75								
12.04.1970	07:30	-99	-99	-99	76	-99	82								
13.04.1970	07:30	-99	-99	-99	87	-99	91								
14.04.1970	07:30	-99	-99	-99	82	-99	82								
15.04.1970	07:30	-99	-99	-99	74	-99	76								
16.04.1970	07:30	-99	-99	-99	86	-99	91								
17.04.1970	07:30	-99	-99	-99	83	-99	83								
18.04.1970	07:30	-99	-99	-99	73	-99	78								
19.04.1970	07:30	-99	-99	-99	84	-99	80								
20.04.1970	07:30	-99	-99	-99	90	-99	89								
21.04.1970	07:30	-99	-99	-99	66	-99	70								
22.04.1970	07:30	-99	-99	-99	83	-99	79								
23.04.1970	07:30	-99	-99	-99	74	-99	76								
24.04.1970	07:30	-99	-99	-99	75	-99	80								
25.04.1970	07:30	-99	-99	-99	75	-99	80								
26.04.1970	07:30	-99	-99	-99	78	-99	79								
27.04.1970	07:30	-99	-99	-99	83	-99	81								
28.04.1970	07:30	-99	-99	-99	77	-99	73								
29.04.1970	07:30	-99	-99	-99	82	-99	82								
30.04.1970	07:30	-99	-99	-99	87	-99	86								
01.05.1970	07:30	-99	-99	-99	93	-99	93								
02.05.1970	07:30	-99	-99	-99	80	-99	79								
03.05.1970	07:30	-99	-99	-99	83	-99	86								
04.05.1970	07:30	-99	-99	-99	85	-99	87								
05.05.1970	07:30	-99	-99	-99	75	-99	75								
06.05.1970	07:30	-99	-99	-99	65	-99	70								
07.05.1970	07:30	-99	-99	-99	58	-99	67								
08.05.1970	07:30	-99	-99	-99	61	-99	68								
09.05.1970	07:30	-99	-99	-99	75	-99	77								
10.05.1970	07:30	-99	-99	-99	65	-99	67								
11.05.1970	07:30	-99	-99	-99	84	-99	85								
12.05.1970	07:30	-99	-99	-99	89	-99	92								
13.05.1970	07:30	-99	-99	-99	82	-99	86								
14.05.1970	07:30	-99	-99	-99	72	-99	75								
15.05.1970	07:30	-99	-99	-99	81	-99	80								
16.05.1970	07:30	-99	-99	-99	90	-99	91								
17.05.1970	07:30	-99	-99	-99	80	-99	76								
18.05.1970	07:30	-99	-99	-99	65	-99	67								
19.05.1970	07:30	-99	-99	-99	65	-99	66								
20.05.1970	07:30	-99	-99	-99	82	-99	77								
21.05.1970	07:30	-99	-99	-99	71	-99	81								
22.05.1970	07:30	-99	-99	-99	73	-99	77								
23.05.1970	07:30	-99	-99	-99	77	-99	81								
24.05.1970	07:30	-99	-99	-99	66	-99	74								
25.05.1970	07:30	-99	-99	-99	56	-99	60								
26.05.1970	07:30	-99	-99	-99	76	-99	81								
27.05.1970	07:30	-99	-99	-99	85	-99	90								
28.05.1970	07:30	-99	-99	-99	91	-99	94								
29.05.1970	07:30	-99	-99	-99	78	-99	81								
30.05.1970	07:30	-99	-99	-99	93	-99	90								
