# J2K model output
# 
#date/time	precip	tmean	rhum	rain	snow	potETP	netRain	netSnow	throughfall	interception	intercStorage	actETP	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actDPS	actMPS	actLPS	percolation	actRG1	actRG2	reachOutRD1	reachOutRD2	reachOutRG1	reachOutRG2	channelStorage	simRunoff	obsRunoff
2004-02-20 06:00	0.0	-6.909	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8964918656049659	0.0	0.0	74.90275955733482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03
2004-02-20 07:00	0.0	-6.502	96.99922103444445	0.0	0.0	0.0016081518988694833	0.0	0.0	0.0	0.0	0.0	0.0016038937384162464	0.0	0.0	0.0	0.8964695204655352	0.0	0.0	74.90115566359634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36
2004-02-20 08:00	0.0	-5.3	91.5747680210932	0.0	0.0	0.004888562307616525	0.0	0.0	0.0	0.0	0.0	0.00487560639844124	0.0	0.0	0.0	0.8964015945509776	0.0	0.0	74.89628005719794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44
2004-02-20 09:00	0.0	-4.042	91.32315244681519	0.0	0.0	0.005414892951651212	0.0	0.0	0.0	0.0	0.0	0.005400502720346493	0.0	0.0	0.0	0.8963263562393485	0.0	0.0	74.89087955447758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43
2004-02-20 10:00	0.0	-1.451	83.32329016232359	0.0	0.0	0.021122147207425338	0.0	0.0	0.0	0.0	0.0	0.021065812718500273	0.0	0.0	0.0	0.8960329935548911	0.0	0.0	74.86981374175906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47
2004-02-20 11:00	0.0	2.207	70.97166757868551	0.0	0.0	0.06745909923504263	0.0	0.0	0.0	0.0	0.0	0.06727697573587438	0.0	0.0	0.0	0.8950963519847276	0.0	0.0	74.80253676602321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01
2004-02-20 12:00	0.0	2.511	77.17328423450924	0.0	0.0	0.0821350631627049	0.0	0.0	0.0	0.0	0.0	0.0819046764536033	0.0	0.0	0.0	0.8939562161182469	0.0	0.0	74.7206320895696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06
2004-02-20 13:00	0.0	0.912	86.05159353966282	0.0	0.0	0.060680668839219694	0.0	0.0	0.0	0.0	0.0	0.06050233713732908	0.0	0.0	0.0	0.8931140900074187	0.0	0.0	74.66012975243228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62
2004-02-20 14:00	0.0	0.343	92.50719581971588	0.0	0.0	0.055894004171865234	0.0	0.0	0.0	0.0	0.0	0.05572393912332352	0.0	0.0	0.0	0.8923385948397541	0.0	0.0	74.60440581330896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01
2004-02-20 15:00	0.0	-0.144	92.544656565904	0.0	0.0	0.053919971666595755	0.0	0.0	0.0	0.0	0.0	0.05375058547297283	0.0	0.0	0.0	0.8915906352545974	0.0	0.0	74.55065522783597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28
