# J2K model output
# 
#date/time	tmeam	rhum	sunh	solRad	netRad	refET
1979-11-01 07:30	3.3	100.0	0.0	3.051586534743829	4.523292382499433	0.5609842442447647
1979-11-02 07:30	2.35	95.94203986595224	4.0	5.597501374235782	2.8349119808833967	0.47223406946510765
1979-11-03 07:30	0.55	92.98635697401323	2.0	4.23679662018894	3.6227181897711715	0.5800270702986866
1979-11-04 07:30	-0.1	87.89954140679399	0.0	2.904255061695722	4.504873573493275	0.7388632471807732
1979-11-05 07:30	1.6	97.99944804076264	0.0	2.8570377057530347	4.402753855548153	0.41661513511475556
1979-11-06 07:30	0.35	98.90877803002016	0.0	2.8107859109833777	4.3710663791988456	0.35507449217368026
1979-11-07 07:30	-0.55	97.9733981532045	1.0	3.3813356126547465	3.8681441782851707	0.3858289741672621
1979-11-08 07:30	3.0	96.0255802557614	1.0	3.330690074063671	3.815254644484029	0.4936005386745574
1979-11-09 07:30	1.25	99.04362491776877	0.0	2.6779267787846233	4.261741347258154	0.4322183626308438
1979-11-10 07:30	-0.95	98.09282229289482	0.0	2.635637377032364	4.246735113275258	0.48789341001723846
1979-11-11 07:30	-3.3	95.97626096343062	1.0	3.1853817818889687	3.7033440464910052	0.4243354057532992
1979-11-12 07:30	-4.75	94.93333954366899	2.7	4.133847413606532	2.752573212854171	0.29347396533829573
1979-11-13 07:30	-2.65	97.11575834188304	1.2	3.210005787842066	3.5108512252267774	0.4422168820026971
1979-11-14 07:30	-1.7	97.10179382279	0.0	2.47668503215014	4.131362597868636	0.4655111915217593
1979-11-15 07:30	-0.6	98.95965184318818	0.0	2.4395337614096975	4.089944646231916	0.45412774120481225
1979-11-16 07:30	-2.2	98.89137713042646	0.0	2.4034296812763656	4.067349180352044	0.38566424364321394
1979-11-17 07:30	-2.7	94.96732720985351	6.8	6.157506132111201	0.0792114223961411	0.06681332650315766
1979-11-18 07:30	-3.6	96.9864555942396	0.0	2.334384244033472	4.023337450015437	0.384430657339155
1979-11-19 07:30	-2.15	99.02322885513904	0.4	2.5202424080713515	3.750302476713438	0.46506487725263596
1979-11-20 07:30	-1.45	99.06788180171684	0.0	2.2695866039621033	3.961693656788743	0.4277420740895954
1979-11-21 07:30	-2.1	98.91416088034686	0.0	2.238790702575942	3.9402921815492045	0.44388769630559516
1979-11-22 07:30	-3.4	95.87589044019352	0.2	2.3155956005435607	3.8065072646149827	0.48526479057788635
1979-11-23 07:30	-4.45	97.98890327606887	0.0	2.1804213259174836	3.899215347009321	0.36263187652977535
1979-11-24 07:30	-4.35	98.9697572108004	0.0	2.152853414365082	3.874057301377687	0.32207785464714356
1979-11-25 07:30	-3.3	97.01665403620494	0.0	2.1263665159213745	3.86324899123787	0.4009754566099379
1979-11-26 07:30	-1.85	99.06861734552554	0.0	2.1009626237912	3.8329094354490882	0.24139589859122468
1979-11-27 07:30	1.1	97.00401837223934	0.2	2.1789828448020945	3.6798380647544464	0.4953946077141481
1979-11-28 07:30	1.7	100.0	0.0	2.053410472778126	3.771672294701829	0.33985617342184515
1979-11-29 07:30	4.95	81.05115170863556	4.9	4.502895050337913	0.39139002303105475	0.8294544767463374
1979-11-30 07:30	2.75	81.067999938175	0.2	2.1104111466316304	3.7036090153021464	1.0537755021133335
1979-12-01 07:30	2.95	100.0	0.0	1.9902399485931557	3.710217179880277	0.3015736532608152
1979-12-02 07:30	2.95	100.0	0.0	1.9713620654343356	3.6956812098479856	0.3053113800873245
1979-12-03 07:30	3.55	94.97273309371637	4.9	4.363515686345241	0.32276185504680077	0.211591054470335
1979-12-04 07:30	4.1	99.04132037775919	0.8	2.3281587171305436	3.116791033127461	0.36145874903711595
1979-12-05 07:30	4.5	83.964500208841	1.9	2.845717230499446	2.354524693458879	0.8944371759640396
1979-12-06 07:30	5.0	100.0	0.0	1.9067591700430246	3.61781798693342	0.4429976473520143
1979-12-07 07:30	5.9	99.9778729484954	0.0	1.8933370662910278	3.592334672293103	0.3889050650621487
1979-12-08 07:30	3.85	100.0	0.0	1.881006788763679	3.61488317226138	0.40655852993790603
1979-12-09 07:30	2.5	100.0	0.0	1.8697684785620814	3.622431747350711	0.2925759149594128
1979-12-10 07:30	3.65	99.00712605921035	0.0	1.859622278592715	3.6073131077695475	0.29548854192362434
1979-12-11 07:30	3.3	99.05163573376066	0.0	1.8505683501959842	3.604377202973839	0.31491627517310083
1979-12-12 07:30	-3.35	96.05729916310791	1.3	2.458370742515224	2.685804951136637	0.31404757228217306
1979-12-13 07:30	-4.85	97.0733481785915	0.0	1.8357381366132213	3.6366598446609575	0.33256644136376684
1979-12-14 07:30	-0.55	99.04531717019799	0.0	1.8299623979285566	3.619913499730337	0.32933788535563596
1979-12-15 07:30	0.6	99.00337769056246	0.0	1.8252800475146296	3.61012512116531	0.2719275451765914
1979-12-16 07:30	-1.1	98.01052860759013	0.0	1.82169154145876	3.6209270985481217	0.2835960069631347
1979-12-17 07:30	-0.15	99.04722627601721	0.0	1.8191974247308629	3.6096563484892656	0.2658024950652242
1979-12-18 07:30	-1.4	96.90209684931051	0.0	1.8177983372993087	3.6243092592345416	0.350602573530303
1979-12-19 07:30	-2.35	97.99736196528112	0.0	1.817495018482313	3.6205883401768073	0.40074067718261613
