# reach.par test example						
ID	to-reach	length	slope	sinuosity	rough	width
798	794	680	0.770054486	1.05	30	5
800	660	3292	1.855847078	1.23	30	5
802	650	2292	2.056287607	1.17	30	5
804	648	1311	2.796396966	1.22	30	5
806	410	1612	2.490750659	1.06	30	15
808	408	2060	2.033588838	1.1	30	15
810	406	3746	3.262653723	1.09	30	5
812	810	2055	2.208549552	1.14	30	5
814	810	2562	3.066456902	1.33	30	5
816	364	5581	8.243285332	1.3	30	10
818	362	1431	24.6299143	1.06	30	10
820	360	3120	9.482191371	1.18	30	10
822	358	3599	4.804743934	1.4	30	10
824	822	4527	4.166240014	1.4	30	5
826	822	1004	6.091911546	1.1	30	5
358	0	1149	0.165457364	1.06	30	45
360	358	9490	0.165457364	1.42	30	45
362	360	2083	0.093549675	1.26	30	45
364	362	7458	0.093549675	2.23	30	45
366	364	3644	1.101696393	1.44	30	45
368	366	5257	0.630770357	1.33	30	15
370	368	1880	1.578432309	1.09	30	15
372	370	7130	2.472762695	1.35	30	5
374	370	1312	0.265988805	1.05	30	15
376	374	5324	1.737650129	1.56	30	15
378	376	2574	0.339118774	1.06	30	15
380	378	572	0.915450765	1.08	30	15
382	380	4528	1.580527227	1.59	30	8
384	382	1392	1.755457918	1.16	30	8
386	382	1320	1.586811988	1.11	30	8
388	386	724	6.518063618	1.08	30	8
390	388	5215	1.90787631	1.09	30	5
392	388	2556	1.843800186	1.11	30	5
394	386	1486	4.819263711	1.16	30	2
396	380	3322	2.837794097	1.16	30	7
398	378	585	9.275135209	1.16	30	7
400	376	4113	2.631516493	1.42	30	7
402	374	1141	7.048105424	1.17	30	7
404	368	2860	10.10332176	1.18	30	1
406	366	1038	1.101696393	1.05	30	97
407	406	1177	1.101696393	1.08	30	97
408	407	909	1.101696393	1.08	30	97
410	408	4635	1.101696393	1.4	30	97
412	410	2606	0.695699463	1.23	30	97
414	412	1263	0.695699463	1.17	30	97
416	414	10608	0.674579988	1.57	30	24
417	416	1387	1.02349681	1.08	30	24
418	417	921	1.02349681	1.08	30	24
420	418	3744	0.839174002	1.53	30	24
422	420	4400	1.745506493	1.77	30	24
424	422	7098	3.197659729	1.3	30	24
426	424	3018	3.644987764	1.19	30	24
428	426	7274	7.717404663	1.15	30	24
430	426	1330	10.27173063	1.1	30	3
432	424	3798	6.903941159	1.52	30	3
434	422	8472	1.710065732	1.53	30	12
436	434	2159	7.938839445	1.12	30	2
438	434	2184	1.358647879	1.28	30	12
440	438	5761	5.002965338	1.31	30	2
442	438	3244	4.145085059	1.23	30	12
444	442	1474	4.739844746	1.2	30	12
446	444	2242	9.997544208	1.08	30	12
448	444	843	12.27633013	1.09	30	2
450	442	1436	4.987393149	1.12	30	2
452	420	4352	4.012568984	1.25	30	6
454	418	3527	3.267196416	1.39	30	3
456	416	7474	2.849671933	1.44	30	8
457	414	3373	0.695699463	1.18	30	76
458	457	1492	0.695699463	1.18	30	76
460	458	2237	6.40642185	1.32	30	10
462	458	366	0.695699463	1.08	30	76
464	462	4930	0.424815695	1.46	30	20
466	464	1549	2.81753209	1.09	30	3
468	464	391	1.287775102	1.08	30	20
470	468	3733	2.151100933	1.07	30	20
472	470	7317	4.941552821	1.2	30	5
474	470	9803	6.078597924	1.24	30	5
476	468	1771	2.464205371	1.24	30	20
478	476	14087	3.036409287	1.42	30	20
480	476	3157	1.216379941	1.18	30	2
482	462	9026	0.328646681	1.67	30	76
484	482	2198	6.281303811	1.15	30	5
486	482	160	0.328646681	1.05	30	76
488	486	3029	0.172787768	1.05	30	76
489	488	1403	0.820846782	1.19	30	51
490	489	3502	0.820846782	1.19	30	51
492	490	1462	1.432664257	1.04	30	5
494	492	3604	2.421768558	1.1	30	5
496	492	2135	1.308024332	1.09	30	2
498	490	4828	0.614538166	1.16	30	51
500	498	1141	1.376802699	1.08	30	51
502	500	2884	0.605113037	1.16	30	51
504	502	1840	1.517854867	1.08	30	44
506	504	2327	1.275206667	1.16	30	44
508	506	1058	2.475033012	1.08	30	23
510	508	2105	3.400687804	1.19	30	5
# end of reach.par						
