#rhum.dat relative Humidity				
@dataValueAttribs				
rhum	0	100	%	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal		
26.06.1979	07:30	64	63	73
27.06.1979	07:30	64	64	72
28.06.1979	07:30	77	80	92
29.06.1979	07:30	75	70	87
30.06.1979	07:30	66	68	86
01.07.1979	07:30	68	69	76
02.07.1979	07:30	63	61	75
03.07.1979	07:30	73	69	73
04.07.1979	07:30	73	74	86
05.07.1979	07:30	65	71	76
06.07.1979	07:30	72	70	76
07.07.1979	07:30	77	72	82
08.07.1979	07:30	76	73	84
09.07.1979	07:30	89	81	98
10.07.1979	07:30	71	73	92
11.07.1979	07:30	66	71	79
12.07.1979	07:30	63	68	80
13.07.1979	07:30	65	78	92
14.07.1979	07:30	68	73	87
15.07.1979	07:30	76	74	80
16.07.1979	07:30	78	82	95
17.07.1979	07:30	80	78	95
18.07.1979	07:30	76	71	93
19.07.1979	07:30	72	75	95
20.07.1979	07:30	70	72	91
21.07.1979	07:30	70	70	89
22.07.1979	07:30	70	69	91
23.07.1979	07:30	73	69	90
24.07.1979	07:30	75	72	92
25.07.1979	07:30	91	83	90
26.07.1979	07:30	86	77	84
27.07.1979	07:30	83	78	82
28.07.1979	07:30	77	72	79
29.07.1979	07:30	77	70	78
30.07.1979	07:30	72	68	96
31.07.1979	07:30	71	72	92
01.08.1979	07:30	74	69	87
02.08.1979	07:30	76	76	92
03.08.1979	07:30	75	70	87
04.08.1979	07:30	74	77	82
05.08.1979	07:30	77	75	82
06.08.1979	07:30	73	73	79
07.08.1979	07:30	61	64	68
08.08.1979	07:30	73	69	82
09.08.1979	07:30	73	70	85
10.08.1979	07:30	83	88	99
11.08.1979	07:30	73	69	94
12.08.1979	07:30	79	79	85
13.08.1979	07:30	68	72	90
14.08.1979	07:30	66	70	80
15.08.1979	07:30	67	70	73
16.08.1979	07:30	74	77	83
17.08.1979	07:30	78	80	99
18.08.1979	07:30	72	82	93
19.08.1979	07:30	61	70	79
20.08.1979	07:30	71	79	87
21.08.1979	07:30	72	74	90
22.08.1979	07:30	79	83	98
23.08.1979	07:30	80	86	96
24.08.1979	07:30	77	70	96
25.08.1979	07:30	77	73	99
26.08.1979	07:30	75	80	95
27.08.1979	07:30	73	72	91
28.08.1979	07:30	73	72	97
29.08.1979	07:30	65	63	83
30.08.1979	07:30	72	70	80
31.08.1979	07:30	66	63	75
01.09.1979	07:30	65	59	67
02.09.1979	07:30	66	60	66
03.09.1979	07:30	75	74	91
04.09.1979	07:30	81	80	95
05.09.1979	07:30	74	74	86
06.09.1979	07:30	69	67	67
07.09.1979	07:30	71	69	75
08.09.1979	07:30	86	81	86
09.09.1979	07:30	90	86	91
10.09.1979	07:30	84	80	92
11.09.1979	07:30	79	76	89
12.09.1979	07:30	79	79	84
13.09.1979	07:30	81	72	89
14.09.1979	07:30	65	64	87
15.09.1979	07:30	71	75	86
16.09.1979	07:30	73	69	75
17.09.1979	07:30	61	51	65
18.09.1979	07:30	61	50	77
19.09.1979	07:30	66	66	88
20.09.1979	07:30	81	80	98
21.09.1979	07:30	74	75	90
22.09.1979	07:30	87	89	97
23.09.1979	07:30	82	84	99
24.09.1979	07:30	76	77	97
25.09.1979	07:30	76	78	86
26.09.1979	07:30	77	73	94
27.09.1979	07:30	76	78	84
28.09.1979	07:30	78	91	100
29.09.1979	07:30	71	72	90
30.09.1979	07:30	78	79	76
01.10.1979	07:30	79	88	77
02.10.1979	07:30	68	75	84
03.10.1979	07:30	69	62	67
04.10.1979	07:30	74	78	83
05.10.1979	07:30	83	85	94
06.10.1979	07:30	72	85	91
07.10.1979	07:30	74	79	91
08.10.1979	07:30	74	81	93
09.10.1979	07:30	80	75	81
10.10.1979	07:30	75	71	68
11.10.1979	07:30	74	75	76
12.10.1979	07:30	72	80	87
13.10.1979	07:30	85	85	70
14.10.1979	07:30	82	80	88
15.10.1979	07:30	79	84	93
16.10.1979	07:30	83	91	97
17.10.1979	07:30	81	86	97
18.10.1979	07:30	82	85	96
19.10.1979	07:30	72	78	88
20.10.1979	07:30	76	76	68
21.10.1979	07:30	86	91	98
22.10.1979	07:30	81	89	97
23.10.1979	07:30	82	87	86
24.10.1979	07:30	76	77	49
25.10.1979	07:30	78	80	54
26.10.1979	07:30	56	54	57
27.10.1979	07:30	65	71	72
28.10.1979	07:30	73	86	71
29.10.1979	07:30	88	94	96
30.10.1979	07:30	91	93	100
31.10.1979	07:30	84	84	96
01.11.1979	07:30	89	93	100
02.11.1979	07:30	84	87	96
03.11.1979	07:30	86	92	93
04.11.1979	07:30	71	71	88
05.11.1979	07:30	81	86	98
06.11.1979	07:30	79	86	99
07.11.1979	07:30	75	82	98
08.11.1979	07:30	75	84	96
09.11.1979	07:30	82	88	99
10.11.1979	07:30	79	89	98
11.11.1979	07:30	80	89	96
12.11.1979	07:30	69	79	95
13.11.1979	07:30	84	89	97
14.11.1979	07:30	91	93	97
15.11.1979	07:30	95	92	99
16.11.1979	07:30	87	90	99
17.11.1979	07:30	89	93	95
18.11.1979	07:30	95	95	97
19.11.1979	07:30	86	94	99
20.11.1979	07:30	86	95	99
21.11.1979	07:30	81	93	99
22.11.1979	07:30	80	92	96
23.11.1979	07:30	81	91	98
24.11.1979	07:30	84	93	99
25.11.1979	07:30	80	88	97
26.11.1979	07:30	73	82	99
27.11.1979	07:30	78	88	97
28.11.1979	07:30	85	89	100
29.11.1979	07:30	82	85	81
30.11.1979	07:30	76	79	81
01.12.1979	07:30	80	86	100
02.12.1979	07:30	78	84	100
03.12.1979	07:30	73	75	95
04.12.1979	07:30	78	83	99
05.12.1979	07:30	68	64	84
06.12.1979	07:30	84	93	100
07.12.1979	07:30	80	84	100
08.12.1979	07:30	84	86	100
09.12.1979	07:30	88	90	100
10.12.1979	07:30	84	86	99
11.12.1979	07:30	81	85	99
12.12.1979	07:30	84	91	96
13.12.1979	07:30	88	89	97
14.12.1979	07:30	90	89	99
15.12.1979	07:30	80	80	99
16.12.1979	07:30	84	80	98
17.12.1979	07:30	80	84	99
18.12.1979	07:30	68	78	97
19.12.1979	07:30	90	95	98
20.12.1979	07:30	86	91	97
21.12.1979	07:30	84	86	96
22.12.1979	07:30	94	98	97
23.12.1979	07:30	86	90	98
24.12.1979	07:30	83	87	98
25.12.1979	07:30	84	85	99
26.12.1979	07:30	87	91	96
27.12.1979	07:30	87	89	97
28.12.1979	07:30	72	80	98
29.12.1979	07:30	74	84	98
30.12.1979	07:30	84	88	99
31.12.1979	07:30	82	94	98
01.01.1980	07:30	75	87	98
02.01.1980	07:30	77	87	94
03.01.1980	07:30	79	84	93
04.01.1980	07:30	85	86	95
05.01.1980	07:30	86	92	99
06.01.1980	07:30	83	93	99
07.01.1980	07:30	92	96	97
08.01.1980	07:30	92	98	98
09.01.1980	07:30	92	97	98
10.01.1980	07:30	86	93	98
11.01.1980	07:30	82	89	97
12.01.1980	07:30	83	90	95
13.01.1980	07:30	88	93	87
