#abc annual data set from leaf river
@{time_format='dd.mm.yyyy hh:mm'}			

time	precip	runoff	
===================================			
15.04.1990 07:30	7.48	1.46
16.04.1990 07:30	1.55	1.46
17.04.1990 07:30	7.22	1.60
18.04.1990 07:30	11.16	1.60
19.04.1990 07:30	8.04	1.66
20.04.1990 07:30	0.47	1.93
21.04.1990 07:30	0.48	2.13
22.04.1990 07:30	1.06	2.26
23.04.1990 07:30	4.87	2.39
24.04.1990 07:30	8.66	2.13
25.04.1990 07:30	3.68	2.39
26.04.1990 07:30	0.88	2.13
27.04.1990 07:30	3.92	2.13
28.04.1990 07:30	0.04	2.13
29.04.1990 07:30	0.00	1.99
30.04.1990 07:30	0.00	1.99
01.05.1990 07:30	0.00	1.93
02.05.1990 07:30	0.00	1.79
03.05.1990 07:30	0.00	1.79
04.05.1990 07:30	0.00	1.66
05.05.1990 07:30	0.00	1.60
06.05.1990 07:30	0.37	1.60
07.05.1990 07:30	3.29	1.46
08.05.1990 07:30	5.38	1.46
09.05.1990 07:30	0.68	1.40
10.05.1990 07:30	0.34	1.40
11.05.1990 07:30	4.73	1.26
12.05.1990 07:30	0.68	1.26
13.05.1990 07:30	0.00	1.20
14.05.1990 07:30	0.00	1.20
15.05.1990 07:30	0.00	1.06
16.05.1990 07:30	9.06	1.06
17.05.1990 07:30	0.00	1.00
18.05.1990 07:30	0.00	1.00
19.05.1990 07:30	0.00	0.93
20.05.1990 07:30	0.00	0.93
21.05.1990 07:30	0.00	0.93
22.05.1990 07:30	0.00	0.93
23.05.1990 07:30	0.67	0.93
24.05.1990 07:30	0.00	0.80
25.05.1990 07:30	0.00	0.80
26.05.1990 07:30	0.00	0.80
27.05.1990 07:30	0.00	0.80
28.05.1990 07:30	0.00	0.80
29.05.1990 07:30	0.00	0.73
30.05.1990 07:30	0.00	0.73
31.05.1990 07:30	0.00	0.73
01.06.1990 07:30	0.00	0.66
02.06.1990 07:30	26.32	0.73
03.06.1990 07:30	10.49	0.80
04.06.1990 07:30	4.73	0.80
05.06.1990 07:30	0.02	0.80
06.06.1990 07:30	0.00	0.73
07.06.1990 07:30	6.27	0.66
08.06.1990 07:30	14.90	0.80
09.06.1990 07:30	0.53	0.73
10.06.1990 07:30	28.90	0.93
11.06.1990 07:30	0.00	1.26
12.06.1990 07:30	0.37	1.20
13.06.1990 07:30	2.22	1.06
14.06.1990 07:30	1.52	1.06
15.06.1990 07:30	0.29	1.00
16.06.1990 07:30	0.00	0.93
17.06.1990 07:30	0.00	0.93
18.06.1990 07:30	0.12	0.93
19.06.1990 07:30	1.67	0.93
20.06.1990 07:30	7.04	0.93
21.06.1990 07:30	2.07	0.93
22.06.1990 07:30	10.89	1.06
23.06.1990 07:30	5.72	1.00
24.06.1990 07:30	0.00	0.93
25.06.1990 07:30	0.00	0.93
26.06.1990 07:30	0.00	0.80
27.06.1990 07:30	6.02	0.80
28.06.1990 07:30	0.00	0.80
29.06.1990 07:30	14.83	0.80
30.06.1990 07:30	6.46	1.00
01.07.1990 07:30	0.87	0.93
02.07.1990 07:30	0.00	0.93
03.07.1990 07:30	8.35	0.93
04.07.1990 07:30	0.26	0.93
05.07.1990 07:30	13.64	1.00
06.07.1990 07:30	9.16	1.00
07.07.1990 07:30	3.30	1.00
08.07.1990 07:30	3.65	1.06
09.07.1990 07:30	8.96	1.06
10.07.1990 07:30	5.68	1.00
11.07.1990 07:30	0.00	1.00
12.07.1990 07:30	0.00	1.00
13.07.1990 07:30	0.00	1.00
14.07.1990 07:30	0.00	1.00
15.07.1990 07:30	0.00	1.00
16.07.1990 07:30	0.25	0.93
17.07.1990 07:30	0.37	0.93
18.07.1990 07:30	0.21	0.93
19.07.1990 07:30	0.00	0.93
20.07.1990 07:30	0.00	0.93
21.07.1990 07:30	0.00	0.93
22.07.1990 07:30	0.00	1.00
23.07.1990 07:30	0.00	1.00
24.07.1990 07:30	0.00	1.00
25.07.1990 07:30	0.00	1.00
26.07.1990 07:30	0.00	1.00
27.07.1990 07:30	0.00	1.00
28.07.1990 07:30	0.00	1.00
29.07.1990 07:30	0.00	0.93
30.07.1990 07:30	0.00	0.80
31.07.1990 07:30	0.00	0.80
01.08.1990 07:30	0.00	0.80
02.08.1990 07:30	0.00	0.80
03.08.1990 07:30	0.00	0.80
04.08.1990 07:30	0.00	0.80
05.08.1990 07:30	3.45	0.80
06.08.1990 07:30	1.63	0.80
07.08.1990 07:30	0.00	0.80
08.08.1990 07:30	0.00	0.80
09.08.1990 07:30	0.00	0.73
10.08.1990 07:30	0.00	0.66
11.08.1990 07:30	0.00	0.66
12.08.1990 07:30	0.00	0.66
13.08.1990 07:30	0.72	0.66
14.08.1990 07:30	5.37	0.66
15.08.1990 07:30	0.00	0.73
16.08.1990 07:30	9.76	0.80
17.08.1990 07:30	0.80	0.73
18.08.1990 07:30	7.62	0.73
19.08.1990 07:30	0.15	0.73
20.08.1990 07:30	11.78	0.80
21.08.1990 07:30	17.98	0.73
22.08.1990 07:30	0.02	0.66
23.08.1990 07:30	0.55	0.66
24.08.1990 07:30	0.00	0.66
25.08.1990 07:30	0.69	0.66
26.08.1990 07:30	0.22	0.66
27.08.1990 07:30	0.00	0.66
28.08.1990 07:30	0.79	0.66
29.08.1990 07:30	0.00	0.66
30.08.1990 07:30	0.61	0.66
31.08.1990 07:30	22.85	0.80
01.09.1990 07:30	5.31	0.93
02.09.1990 07:30	1.01	0.80
03.09.1990 07:30	6.66	0.73
04.09.1990 07:30	7.99	0.73
05.09.1990 07:30	1.78	0.80
06.09.1990 07:30	5.53	0.80
07.09.1990 07:30	10.97	0.80
08.09.1990 07:30	7.27	0.80
09.09.1990 07:30	2.02	0.80
10.09.1990 07:30	24.01	1.00
11.09.1990 07:30	5.74	1.20
12.09.1990 07:30	0.00	1.00
13.09.1990 07:30	0.00	0.93
14.09.1990 07:30	0.00	0.93
15.09.1990 07:30	0.00	0.93
16.09.1990 07:30	0.00	0.93
17.09.1990 07:30	6.77	0.93
18.09.1990 07:30	2.77	0.93
19.09.1990 07:30	0.00	0.73
20.09.1990 07:30	0.29	0.73
21.09.1990 07:30	10.93	0.73
22.09.1990 07:30	7.35	0.80
23.09.1990 07:30	9.10	0.80
24.09.1990 07:30	1.93	0.80
25.09.1990 07:30	8.72	0.80
26.09.1990 07:30	0.45	0.93
27.09.1990 07:30	0.19	0.93
28.09.1990 07:30	0.00	0.80
29.09.1990 07:30	0.79	0.80
30.09.1990 07:30	26.04	0.80
01.10.1990 07:30	3.70	1.00
02.10.1990 07:30	0.00	0.73
03.10.1990 07:30	0.07	1.00
04.10.1990 07:30	3.52	1.40
05.10.1990 07:30	1.65	1.40
06.10.1990 07:30	1.28	1.40
07.10.1990 07:30	0.78	1.40
08.10.1990 07:30	0.16	1.20
09.10.1990 07:30	0.00	1.06
10.10.1990 07:30	0.00	1.00
11.10.1990 07:30	0.00	1.00
12.10.1990 07:30	0.00	1.00
13.10.1990 07:30	0.00	0.93
14.10.1990 07:30	0.00	0.80
15.10.1990 07:30	0.00	0.80
16.10.1990 07:30	0.00	0.80
17.10.1990 07:30	0.00	0.80
18.10.1990 07:30	0.00	0.73
19.10.1990 07:30	0.00	0.73
20.10.1990 07:30	2.10	0.66
21.10.1990 07:30	0.00	0.66
22.10.1990 07:30	0.00	0.66
23.10.1990 07:30	0.00	0.66
24.10.1990 07:30	0.00	0.66
25.10.1990 07:30	0.00	0.66
26.10.1990 07:30	0.45	0.66
27.10.1990 07:30	0.50	0.66
28.10.1990 07:30	25.78	0.53
29.10.1990 07:30	16.29	0.80
30.10.1990 07:30	3.76	0.93
31.10.1990 07:30	7.13	1.06
01.11.1990 07:30	5.09	1.06
02.11.1990 07:30	10.48	1.26
03.11.1990 07:30	12.06	1.40
04.11.1990 07:30	21.08	1.66
05.11.1990 07:30	1.27	1.46
06.11.1990 07:30	3.12	1.46
07.11.1990 07:30	0.00	1.40
08.11.1990 07:30	0.02	1.20
09.11.1990 07:30	0.00	1.26
10.11.1990 07:30	2.82	1.40
11.11.1990 07:30	3.48	1.46
12.11.1990 07:30	0.02	1.60
13.11.1990 07:30	3.12	1.66
14.11.1990 07:30	9.10	1.79
15.11.1990 07:30	0.78	2.13
16.11.1990 07:30	5.62	2.13
17.11.1990 07:30	25.65	2.66
18.11.1990 07:30	15.75	5.38
19.11.1990 07:30	13.47	5.38
20.11.1990 07:30	20.50	6.05
21.11.1990 07:30	0.00	10.63
22.11.1990 07:30	7.49	7.71
23.11.1990 07:30	9.28	5.72
24.11.1990 07:30	0.00	4.79
25.11.1990 07:30	0.04	4.32
26.11.1990 07:30	0.00	3.72
27.11.1990 07:30	0.80	3.19
28.11.1990 07:30	1.33	2.79
29.11.1990 07:30	8.82	2.53
30.11.1990 07:30	3.62	2.26
01.12.1990 07:30	1.19	1.99
02.12.1990 07:30	2.95	1.79
03.12.1990 07:30	2.05	1.66
04.12.1990 07:30	10.05	1.60
05.12.1990 07:30	0.08	1.60
06.12.1990 07:30	0.00	1.46
07.12.1990 07:30	0.00	1.40
08.12.1990 07:30	0.00	1.40
09.12.1990 07:30	0.00	1.26
10.12.1990 07:30	7.43	1.20
11.12.1990 07:30	10.77	1.20
12.12.1990 07:30	14.87	1.20
13.12.1990 07:30	1.94	1.00
14.12.1990 07:30	3.71	1.00
15.12.1990 07:30	1.06	1.00
16.12.1990 07:30	3.33	0.93
17.12.1990 07:30	0.33	0.93
18.12.1990 07:30	0.01	0.80
19.12.1990 07:30	3.45	0.80
20.12.1990 07:30	16.18	0.80
21.12.1990 07:30	3.49	0.80
22.12.1990 07:30	1.82	0.80
23.12.1990 07:30	0.32	0.80
24.12.1990 07:30	0.18	0.93
25.12.1990 07:30	1.38	0.93
26.12.1990 07:30	12.24	0.93
27.12.1990 07:30	6.59	0.93
28.12.1990 07:30	2.19	0.93
29.12.1990 07:30	14.29	1.20
30.12.1990 07:30	0.01	3.39
31.12.1990 07:30	3.90	3.72
01.01.1991 07:30	7.94	3.92
02.01.1991 07:30	13.98	3.92
03.01.1991 07:30	23.54	7.24
04.01.1991 07:30	17.28	19.34
05.01.1991 07:30	7.46	20.14
06.01.1991 07:30	2.97	13.96
07.01.1991 07:30	4.07	9.44
08.01.1991 07:30	1.63	7.24
09.01.1991 07:30	7.01	7.24
10.01.1991 07:30	11.23	8.24
11.01.1991 07:30	6.51	11.83
12.01.1991 07:30	1.18	12.49
13.01.1991 07:30	0.96	10.63
14.01.1991 07:30	0.00	8.84
15.01.1991 07:30	0.00	7.24
16.01.1991 07:30	0.00	6.45
17.01.1991 07:30	0.00	5.72
18.01.1991 07:30	0.00	5.05
19.01.1991 07:30	0.00	4.32
20.01.1991 07:30	1.93	3.72
21.01.1991 07:30	1.36	3.39
22.01.1991 07:30	0.00	2.92
23.01.1991 07:30	0.00	2.66
24.01.1991 07:30	0.04	2.53
25.01.1991 07:30	0.02	2.39
26.01.1991 07:30	0.00	2.26
27.01.1991 07:30	0.03	1.99
28.01.1991 07:30	0.00	1.93
29.01.1991 07:30	0.01	1.93
30.01.1991 07:30	0.00	1.66
31.01.1991 07:30	0.00	1.60
01.02.1991 07:30	0.00	1.46
02.02.1991 07:30	0.00	1.26
03.02.1991 07:30	0.00	1.26
04.02.1991 07:30	0.27	1.26
05.02.1991 07:30	2.89	1.26
06.02.1991 07:30	1.94	1.20
07.02.1991 07:30	1.26	1.20
08.02.1991 07:30	1.79	1.20
09.02.1991 07:30	4.68	1.20
10.02.1991 07:30	7.37	1.20
11.02.1991 07:30	2.94	1.06
12.02.1991 07:30	2.92	1.00
13.02.1991 07:30	4.09	1.00
14.02.1991 07:30	5.31	1.00
