# abc model output
# 
time	simRunoff	obsRunoff
1990-02-26 07:30	1.1609518284344755	6.05
1990-02-27 07:30	1.8131033632062932	6.05
1990-02-28 07:30	2.379708090737994	5.72
1990-03-01 07:30	2.5893199259894755	11.83
1990-03-02 07:30	4.131626038942056	10.04
1990-03-03 07:30	2.865788335610844	7.24
1990-03-04 07:30	3.824874653879588	6.45
1990-03-05 07:30	2.6861558519814337	5.38
1990-03-06 07:30	3.6261209488752417	4.79
1990-03-07 07:30	2.4003955912238477	5.38
1990-03-08 07:30	3.5728052255214604	6.05
1990-03-09 07:30	2.101864164364747	6.85
1990-03-10 07:30	3.108340546203671	6.85
1990-03-11 07:30	2.0688618229973303	7.24
1990-03-12 07:30	3.2642962751971933	8.24
1990-03-13 07:30	1.7999097860076771	7.24
1990-03-14 07:30	2.8399377594215585	5.72
1990-03-15 07:30	1.565921513826679	5.05
1990-03-16 07:30	2.478025850696756	4.52
1990-03-17 07:30	1.362351717029211	4.12
1990-03-18 07:30	2.1558824901061775	3.72
1990-03-19 07:30	1.1852459938154134	3.39
1990-03-20 07:30	1.8756177663923743	3.19
1990-03-21 07:30	1.0311640146194097	2.92
1990-03-22 07:30	1.8865874567613659	2.79
1990-03-23 07:30	0.8971126927188864	2.53
1990-03-24 07:30	1.8082510873823885	2.39
1990-03-25 07:30	0.7804880426654311	2.13
1990-03-26 07:30	1.657418446022678	2.13
1990-03-27 07:30	0.8958645971189251	2.13
1990-03-28 07:30	1.60159404803973	1.99
1990-03-29 07:30	0.9010821994934648	2.13
1990-03-30 07:30	2.2342268217945653	2.13
1990-03-31 07:30	0.8068215135593143	1.99
1990-04-01 07:30	1.9437773349612717	1.99
1990-04-02 07:30	0.7019347167966035	1.99
1990-04-03 07:30	1.6910862814163063	2.13
1990-04-04 07:30	0.6486432036130451	2.13
1990-04-05 07:30	2.070285064832187	1.99
1990-04-06 07:30	0.6017595871433491	1.79
1990-04-07 07:30	1.8011480064040024	1.79
