# J2K model output
# 
#date/time	catchmentNRD1_w	catchmentNRD2_w	catchmentNRG1_w	catchmentNRG2_w	catchmentSimRunoffN	sNO3_Pool	sNH4_Pool	sN_activ_pool	sN_stabel_pool	sum_Ninput	PercoN	sinterflowN	actN_up	Denit_rate	Volati_rate
1993-10-01 07:30	0.0	0.0	0.0	0.0	0.0	1.500605352319674E-4	1.3724406710138704E-5	0.007072001200577483	0.34652802972429714	0.0	0.0	0.0	0.0	0.0	2.278413084028439E-15
1993-10-02 07:30	0.0	0.0	0.0	0.0	0.0	1.5560590235394535E-4	1.2771909606097348E-5	0.007072001855231834	0.3465280297246046	2.809772272167384E-6	0.0	5.691728396426944E-11	0.0	0.0	2.4886175157117946E-15
1993-10-03 07:30	0.0	8.386548961832609E-22	0.0	0.0	1.4615081627992654E-13	1.6213738766681588E-4	1.1886424550225734E-5	0.007072002585437273	0.3465280297252133	3.829402332021266E-6	0.0	4.973941310924501E-8	0.0	0.0	2.5079884320707203E-15
1993-10-04 07:30	0.0	1.2851961340298407E-21	0.0	0.0	2.2396872053462904E-13	1.650346569200939E-4	1.1086057049794347E-5	0.0070720033070454545	0.3465280297261813	2.4555492464148256E-7	0.0	8.090043991024448E-9	0.0	0.0	2.554491706851273E-15
1993-10-05 07:30	0.0	1.5102254964780004E-21	0.0	0.0	2.6318416559841524E-13	1.6761806185880285E-4	1.03480065817429E-5	0.007072004013862711	0.3465280297275082	3.214160908292753E-8	0.0	3.433769137390392E-9	0.0	0.0	2.821128730416515E-15
1993-10-06 07:30	0.0	1.5845867621308032E-21	0.0	0.0	2.761429639363561E-13	1.7050036664544187E-4	9.676199852831458E-6	0.007072004711730995	0.34652802972917374	4.1276707716728927E-7	0.0	2.2208295755476576E-9	0.0	0.0	2.9734724214973165E-15
1993-10-07 07:30	0.0	1.5691411283920113E-21	0.0	0.0	2.7345128230526006E-13	1.7288091191725854E-4	9.07077482979894E-6	0.007072005391153299	0.3465280297311889	5.029346357369253E-9	0.0	8.390933547341991E-10	0.0	0.0	3.0191999976811164E-15
1993-10-08 07:30	0.0	4.234956763219424E-19	0.0	0.0	7.38017974582318E-11	1.7674019801856378E-4	8.528351825866267E-6	0.007072006079594997	0.34652802973353136	1.4887941933298328E-6	0.0	5.434407951466695E-9	0.0	0.0	2.9557148005185948E-15
1993-10-09 07:30	0.0	5.030084119473366E-19	0.0	0.0	8.765833280928995E-11	1.7922056949021853E-4	8.04811015916775E-6	0.007072006757544307	0.3465280297362134	1.427519953742667E-7	0.0	3.8143668209193495E-9	0.0	0.0	2.7642013014921505E-15
1993-10-10 07:30	0.0	1.2353144821980581E-17	0.0	0.0	2.1527593859800146E-9	1.8343037594659061E-4	7.617707483846292E-6	0.0070720074493237145	0.3465280297392284	1.974451443207813E-6	0.0	5.733749317958366E-8	0.0	0.0	2.6464016907893084E-15
1993-10-11 07:30	0.0	1.6759418420798456E-17	0.0	0.0	2.9206324242830077E-9	1.8605864190041237E-4	7.229205277563808E-6	0.007072008131818485	0.3465280297425785	3.752293624173303E-7	0.0	8.442046812805564E-9	0.0	0.0	2.596807563310407E-15
1993-10-12 07:30	0.0	7.905232984427288E-17	0.0	0.0	1.3776301298842977E-8	1.8867946362499094E-4	6.871299167818407E-6	0.007072008801891002	0.34652802974626784	4.4630511074803806E-7	6.579468870749946E-22	6.812991385354909E-9	0.0	0.0	2.6485485904160065E-15
1993-10-13 07:30	0.0	6.911132630433588E-16	0.0	0.0	1.2043901251319794E-7	1.9088799393021926E-4	6.545337764452034E-6	0.007072009452289556	0.3465280297502829	1.2384160729785634E-7	5.422802916925308E-16	1.8217392165611432E-9	0.0	0.0	2.582506585369093E-15
1993-10-14 07:30	0.0	6.368831643538854E-15	0.0	0.0	1.1098843489601844E-6	1.953447733756332E-4	6.25182685690136E-6	0.007072010121554184	0.3465280297546162	2.4007149503075627E-6	5.530277480907134E-12	7.356404228003582E-8	0.0	9.080247038956573E-10	2.499428252607436E-15
1993-10-15 07:30	0.0	4.997872814041032E-14	0.0	0.0	8.709699242914043E-6	1.9981741130230033E-4	5.999136973663589E-6	0.007072010801016761	0.3465280297592789	2.3857995468764368E-6	1.6920349971210683E-9	1.2667565018644483E-7	0.0	4.800118011170062E-10	2.084078804242414E-15
1993-10-16 07:30	0.0	2.466169432582271E-13	0.0	0.0	4.297747229484263E-5	2.0203477696631303E-4	5.775842379970241E-6	0.00707201146859102	0.34652802976427427	0.0	3.2698052164074062E-9	1.2252160216915709E-8	0.0	0.0	1.7234871598668115E-15
1993-10-17 07:30	0.0	9.869318775278159E-13	0.0	0.0	1.719907677995021E-4	2.0423999025569412E-4	5.578283224442641E-6	0.007072012122450143	0.3465280297695954	1.7321723407995537E-8	3.0622348038011E-10	6.6998913882269995E-9	0.0	0.0	1.3852898006090313E-15
1993-10-18 07:30	0.0	3.170198038826817E-12	0.0	0.0	5.524644681050267E-4	2.0639605690688683E-4	5.4028112013262166E-6	0.007072012761131295	0.34652802977524	0.0	3.6629675893873876E-10	3.762810705680678E-9	0.0	0.0	1.0793357787999951E-15
1993-10-19 07:30	0.0	8.296758790809396E-12	0.0	0.0	0.0014458605980516206	2.0852980896593774E-4	5.244206975121976E-6	0.00707201338606764	0.3465280297811925	0.0	3.353971189310933E-10	2.013559328248115E-9	0.0	0.0	8.896664834389564E-16
1993-10-20 07:30	0.0	1.8577125754709177E-11	0.0	0.0	0.0032374008731623784	2.119257417708168E-4	5.100992355546969E-6	0.007072014017305418	0.34652802978745567	1.2604201361687019E-6	1.1311449569767643E-9	1.776837028834166E-8	0.0	0.0	7.2360795290864485E-16
1993-10-21 07:30	0.0	3.589747062647631E-11	0.0	0.0	0.006255784898318601	2.1413938405328978E-4	4.9701716913503635E-6	0.0070720146388123266	0.3465280297940259	7.010955867303063E-8	6.764560156095824E-10	1.0739485206864746E-8	0.0	0.0	5.901211863185142E-16
1993-10-22 07:30	0.0	6.437271691033385E-11	0.0	0.0	0.011218112677119672	2.1898029105068976E-4	4.852465045829977E-6	0.0070720152764101735	0.3465280298008996	2.85135219907291E-6	2.8372959126912833E-9	2.1469003716246576E-7	0.0	6.627122510136569E-10	4.709827525975689E-16
1993-10-23 07:30	0.0	1.2450416081209504E-10	1.0375647433367773E-16	3.233688546542849E-17	0.02169713037615692	2.2738978154218412E-4	4.743953930997305E-6	0.0070720159596229515	0.3465280298080872	7.365894902949599E-6	2.7559454055941095E-9	1.3011543624275369E-6	0.0	4.865996559670753E-8	3.8156366899366815E-16
1993-10-24 07:30	0.0	2.8345503105118713E-10	1.79341705147521E-14	5.636700974487187E-15	0.04940128443468621	2.3206791966650644E-4	4.6430053948506525E-6	0.007072016647992994	0.3465280298156099	3.0327155347441985E-6	5.8880507394215296E-9	8.183515259081408E-7	0.0	9.826012409407757E-9	3.034462694242945E-16
1993-10-25 07:30	0.0	1.0069771404347606E-9	3.20287975281886E-13	1.0428556058428969E-13	0.17555800781544745	2.3434007889401156E-4	4.549777162823622E-6	0.007072017321793622	0.34652802982346925	0.0	5.030503911074697E-9	1.7097650470413408E-7	0.0	3.9965461548514654E-10	2.4169429213601475E-16
1993-10-26 07:30	0.0	4.837054650125601E-9	2.718892545643772E-12	9.165594111364422E-13	0.8435779877959553	2.3667888377093785E-4	4.463502455649789E-6	0.007072017982340022	0.34652802983165903	0.0	2.5530165260874564E-9	9.185446402237602E-8	0.0	0.0	1.9768243193460512E-16
1993-10-27 07:30	0.0	1.9148814159124296E-8	1.339122298862036E-11	4.671514824039057E-12	3.3401756989350218	2.3904350636025357E-4	4.382652752294437E-6	0.007072018629705091	0.34652802984017295	0.0	1.833642939338747E-9	6.131140257576689E-8	0.0	0.0	1.704650331290199E-16
1993-10-28 07:30	0.0	5.2168868703432566E-8	4.108985984483977E-11	1.4838846491557533E-11	9.101117523105295	2.4141006654168173E-4	4.306037579135803E-6	0.007072019263683631	0.34652802984900144	0.0	2.061116973108379E-9	4.291053803729576E-8	0.0	0.0	1.616965641019168E-16
1993-10-29 07:30	0.0	1.0008494021948484E-7	8.60873182476269E-11	3.2229539243307035E-11	17.462233729697548	2.437826759766604E-4	4.234509022325398E-6	0.007072019884647162	0.34652802985814324	0.0	1.8544718398621723E-9	2.9718349723344085E-8	0.0	0.0	1.3589857920241896E-16
1993-10-30 07:30	0.0	1.472042488613259E-7	1.3691491992780145E-10	5.3253900608670675E-11	25.686148804885008	2.4614749477351133E-4	4.16743113958591E-6	0.007072020493005596	0.34652802986758874	0.0	1.8652223413948577E-9	2.0844586401210248E-8	0.0	0.0	1.1642241340436517E-16
1993-10-31 07:30	0.0	1.8057699363218375E-7	1.8118350321213427E-10	7.338785593595992E-11	31.51317777185504	2.484992253874604E-4	4.104137083975684E-6	0.007072021089247576	0.3465280298773311	0.0	1.8646108791950433E-9	1.5059604750065204E-8	0.0	0.0	1.0499308972867066E-16
1993-11-01 07:30	0.0	1.9649378271271646E-7	2.1278475375119162E-10	8.994599828878757E-11	34.29535940804036	2.5084673344003076E-4	4.044801964274845E-6	0.007072021674192104	0.34652802988736564	0.0	1.6520846975652394E-9	1.12975430774902E-8	0.0	0.0	8.628476233566109E-17
1993-11-02 07:30	0.0	1.9783028003169894E-7	2.3152025801475654E-10	1.0230424421939141E-10	34.53368693943252	2.5320112879911595E-4	3.988541376079252E-6	0.0070720222489867035	0.34652802989768755	0.0	1.4820276959156104E-9	8.938917671756648E-9	0.0	0.0	7.82426830418968E-17
