# J2K model output
# 
#date/time	precip	tmean	rhum	wind	rain	snow	solRad	netRad	refET	potET	actET	netRain	netSnow	throughfall	interception	intercStorage	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actMPS	actLPS	percolation	actRG1	actRG2	catchmentRD1_w	catchmentRD2_w	catchmentRG1_w	catchmentRG2_w	channelStorage_w	catchmentSimRunoff_qm	catchmentObsRunoff	rs	ra
1989-11-01 07:30	23.896626241768082	9.158576774720096	94.44377525505483	3.4846220028459696	23.89662624176809	0.0	2.845866790620326	4.4589332305538605	0.7837489731747619	0.6592920421966362	0.5652801297092417	0.0	0.0	22.714896938144655	1.181729303623368	0.6690221812155931	0.0	0.0	0.0	0.20789626376504666	0.0	22.50981381136987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1522479085124495	0.0	1.22	0.0	0.0
1989-11-02 07:30	4.373071913297832	9.378391541043344	91.77832025436093	2.453572018846063	4.373071913297832	0.0	3.7241954229333096	3.8610814808459404	0.8086540786369971	0.7395808135823543	0.6416035794590818	0.0	0.0	3.860364790890063	0.5127071224077738	0.6166913405881573	0.0	0.0	0.0	0.24191589365996685	5.0511943751135513E-5	26.26674771284411	0.002216770662154094	9.404036090718508E-5	1.2734871769491668E-5	8.106413963583605E-5	0.0	0.0	0.0	0.0	0.17629383694186596	0.0	2.66	0.0	0.0
1989-11-03 07:30	2.6863583269393074	9.37082299349416	93.15158131377257	2.886901390008944	2.6863583269393074	0.0	2.7415698582041377	4.387740831736681	0.8378423888401098	0.7322520096246267	0.6416197767820538	0.0	0.0	2.121320363904088	0.5650379630352107	0.6227269401876724	0.0	0.0	0.0	0.25966460993869656	6.562296098858874E-5	28.28785074166642	0.0028390191734864183	1.3569740612860655E-4	3.149454032890978E-5	1.973805277514844E-4	0.0	0.0	0.0	0.0	0.1925496642455449	0.0	2.66	0.0	0.0
1989-11-04 07:30	3.6658319590299056	7.384309712405114	92.67852330941749	3.972273371230323	3.6658319590299056	0.0	2.7062676251054185	4.386378885811461	0.7808191013204184	0.6702407235159984	0.5962058002125454	0.0	0.0	3.1068295955942182	0.5590023634356952	0.6643707892579644	0.0	0.0	0.0	0.287743236388562	1.3480001642382652E-4	31.297420865248533	0.006925542555631683	3.061955853963219E-4	7.544108425871346E-5	4.5804519475889924E-4	0.0	0.0	0.0	0.0	0.2059638290448949	0.0	2.12	0.0	0.0
1989-11-05 07:30	1.4108535892077565	5.546349232815656	86.0979650137228	5.511150523188055	1.410566095737961	2.8749346979524914E-4	3.6380431582786175	3.6463563073962586	0.9174006802736765	0.8532747292179884	0.7389339586236923	0.0	0.0	0.9413252179601491	0.4695283712476095	0.5170114090076869	0.0	0.0	0.005310925510580766	0.29434920293832806	7.577909411084106E-5	32.111928527063014	0.004096462628220476	2.0566277948311552E-4	1.0571892327473853E-4	6.310331697522778E-4	0.0	0.0	0.0	0.0	0.2127399264454648	0.0	1.95	0.0	0.0
1989-11-06 07:30	23.008864231570172	3.9970504795418877	94.41885145584091	2.344446358424981	22.97240172916095	0.03646250240923274	2.5910914771391673	4.366500643598438	0.6507436537128953	0.5460140121344345	0.5240971007060323	0.0	0.0	22.344146336954406	0.66471789461568	0.735189550851268	0.0	0.0	0.6427166311860955	0.4984917254314451	0.0038166085675263987	54.02285790313483	0.1809721123079429	0.026454584004820154	0.0036142550344076827	0.02350268643182378	0.0	0.0	0.0	0.0	0.36273019219707037	0.0	1.79	0.0	0.0
1989-11-07 07:30	3.2255248939788435	3.256298952133348	93.15954409559741	2.6578299235983716	3.1159922179915642	0.1095326759872782	2.556337454441101	4.338451599211569	0.6540643861986941	0.554994911264296	0.5327330554462933	0.0	0.0	2.778985141206734	0.44653975277209945	0.7323930969713239	1.1631490188318697E-4	5.234170584743414E-5	0.5792715368974248	0.523514464216152	0.0025670164956749647	56.74055484560443	0.11714764622357612	0.020487340515380897	0.006235569712044725	0.041224250339556755	0.0	0.0	0.0	0.0	0.3804048071084745	0.0	2.66	0.0	0.0
1989-11-08 07:30	0.5241735802754108	2.0019313284537903	87.85223737293585	4.371956152361433	0.38491203327483736	0.139261547000573	2.9776161486511863	3.933705567666645	0.7151458926348094	0.6465373102470583	0.6084876812383663	0.0	0.0	0.19802890711723214	0.3261446731581784	0.577149169097155	0.0026774941426954174	7.163537042832299E-4	0.18062312032944827	0.5248832634217844	6.937046196116651E-4	56.88503150206549	0.036065363909051316	0.005731388685139839	0.006875496601632078	0.046134049641708835	0.0	0.0	0.0	0.0	0.3756739569114462	0.0	2.66	0.0	0.0
1989-11-09 07:30	0.0	3.9256373933877473	79.75606121558636	4.299164872579143	0.0	0.0	4.691530540077732	2.248528559973164	0.9010294103303946	0.9239103351633756	0.82867568766077	0.0	0.0	0.0	0.0	0.1743592675115881	0.002471177189826663	6.502238573154112E-4	6.612984696781877E-5	0.5207746494951517	1.9605902640260588E-4	56.48129154391942	0.012094600595402976	0.0018829965030304873	0.006965434335925338	0.04771905752900874	0.0	0.0	0.0	0.0	0.3666624237323891	0.0	2.48	0.0	0.0
1989-11-10 07:30	0.0	2.7481138301700314	85.92513377742505	4.920903073020433	0.0	0.0	4.751687169843309	2.086969346582381	0.6582571153659037	0.6454826612837619	0.565772395324801	0.0	0.0	0.0	0.0	0.05901346757657804	0.002471177189826663	6.502238573149464E-4	4.648817812926608E-16	0.5162769102628111	7.825029782294777E-5	56.03575742727187	0.006372659678187311	8.259715452406272E-4	0.006882423175306313	0.04839880754157794	0.0	0.0	0.0	0.0	0.354313856916559	0.0	2.3	0.0	0.0
