# J2K model output
# 
#date/time	precip	tmean	rhum	wind	rain	snow	solRad	netRad	refET	potET	actET	netRain	netSnow	throughfall	interception	intercStorage	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actDPS	actMPS	actLPS	percolation	actRG1	actRG2	catchmentRD1_w	catchmentRD2_w	catchmentRG1_w	catchmentRG2_w	channelStorage_w	catchmentSimRunoff_qm	catchmentObsRunoff
1989-11-01 07:30	23.896626241768082	9.158576774720096	94.44377525505483	3.4846220028459696	23.89662624176809	0.0	2.845866790620326	4.4589332305538605	0.7837489731747619	0.6592920421966362	0.5652801297092417	0.0	0.0	22.714896938144655	1.181729303623368	0.6690221812155931	0.0	0.0	0.0	0.20789626376504666	0.0	0.0	22.50981381136987	0.0	0.0	0.0	0.0	2.6221096092545273E-4	0.0	0.0	0.0	0.1522479085124495	5.288774596635064E-4	1.22
1989-11-02 07:30	4.373071913297832	9.378391541043344	91.77832025436093	2.453572018846063	4.373071913297832	0.0	3.7241954229333096	3.8610814808459404	0.8086540786369971	0.7395808135823543	0.6416035794590818	0.0	0.0	3.860364790890063	0.5127071224077738	0.6166913405881573	0.0	0.0	0.0	0.24191589365996685	5.0511943751135513E-5	0.0	26.26674771284411	0.002216770662154094	9.404036090718508E-5	1.2734871769491668E-5	8.106413963583605E-5	5.087748802206053E-4	1.324882811236845E-12	7.344193612894771E-12	4.852951213243439E-15	0.17629383694186596	0.0010261949760964585	2.66
1989-11-03 07:30	2.6863583269393074	9.37082299349416	93.15158131377257	2.886901390008944	2.6863583269393074	0.0	2.7415698582041377	4.387740831736681	0.8378423888401098	0.7322520096246267	0.6416197767820538	0.0	0.0	2.121320363904088	0.5650379630352107	0.6227269401876724	0.0	0.0	0.0	0.25966460993869656	6.562296098858874E-5	0.0	28.28785074166642	0.0028390191734864183	1.3569740612860655E-4	3.149454032890978E-5	1.973805277514844E-4	5.867698260218415E-4	3.7524168847215945E-12	3.397564170311894E-11	1.9142316743871916E-14	0.1925496642455449	0.0011835102310825993	2.66
1989-11-04 07:30	3.6658319590299056	7.384309712405114	92.67852330941749	3.972273371230323	3.6658319590299056	0.0	2.7062676251054185	4.386378885811461	0.7808191013204184	0.6702407235159984	0.5962058002125454	0.0	0.0	3.1068295955942182	0.5590023634356952	0.6643707892579644	0.0	0.0	0.0	0.287743236388562	1.3480001642382652E-4	0.0	31.297420865248533	0.006925542555631683	3.061955853963219E-4	7.544108425871346E-5	4.5804519475889924E-4	6.068866643787717E-4	7.769181951054399E-12	1.0034724474020675E-10	6.150528312522888E-14	0.2059638290448949	0.001224085878943962	2.12
1989-11-05 07:30	1.4108535892077565	5.546349232815656	86.0979650137228	5.511150523188055	1.410566095737961	2.8749346979524914E-4	3.6380431582786175	3.6463563073962586	0.9174006802736765	0.8532747292179884	0.7389339586236923	0.0	0.0	0.9413252179601491	0.4695283712476095	0.5170114090076869	0.0	0.0	0.005310925510580766	0.29434920293832806	7.577909411084106E-5	0.0	32.111928527063014	0.004096462628220476	2.0566277948311552E-4	1.0571892327473853E-4	6.310331697522778E-4	6.210655013826255E-4	1.2242735393453602E-11	2.1880912651943573E-10	2.386647930383713E-13	0.2127399264454648	0.001252684730725713	1.95
1989-11-06 07:30	23.008864231570172	3.9970504795418877	94.41885145584091	2.344446358424981	22.97240172916095	0.03646250240923274	2.5910914771391673	4.366500643598438	0.6507436537128953	0.5460140121344345	0.5240971007060323	0.0	0.0	22.344146336954406	0.66471789461568	0.735189550851268	0.0	0.0	0.6427166311860955	0.4984917254314451	0.0038166085675263987	1.4345710094717552E-4	54.02285790313483	0.1809721123079429	0.026454584004820154	0.0036142550344076827	0.02350268643182378	0.0022700367025851233	3.5060286830397465E-9	1.0799468385592406E-8	3.526638344735814E-11	0.36273019219707037	0.0045786752196603055	1.79
1989-11-07 07:30	3.2255248939788435	3.256298952133348	93.15954409559741	2.6578299235983716	3.1159922179915642	0.1095326759872782	2.556337454441101	4.338451599211569	0.6540643861986941	0.554994911264296	0.5327330554462933	0.0	0.0	2.778985141206734	0.44653975277209945	0.7323930969713239	0.0	0.0	0.5793238786032723	0.5235149968387456	0.002567036028248498	0.0	56.74060463821938	0.11715015379191467	0.020487382037933835	0.00623559223558274	0.04122426925204755	0.003789360762254206	2.0193625773762945E-8	5.6507805773112554E-8	4.617914170725925E-10	0.3804048071950007	0.007643266690703667	2.66
1989-11-08 07:30	0.5241735802754108	2.0019313284537903	87.85223737293585	4.371956152361433	0.38491203327483736	0.139261547000573	2.9776161486511863	3.933705567666645	0.7151458926348094	0.6465373102470583	0.6084876812383663	0.0	0.0	0.19802890711723214	0.3261446731581784	0.577149169097155	0.001785015506540419	4.590682331179109E-4	0.18082806409476618	0.5248858990057215	6.937879121085507E-4	0.0	56.88527789134805	0.03607605692486168	0.005731550335011533	0.006875606046874361	0.046134142700936895	0.006052301551513839	7.657709531363412E-8	1.8381538555637936E-7	2.8274984727272294E-9	0.375673957579767	0.012207975858439484	2.66
1989-11-09 07:30	0.0	3.9256373933877473	79.75606121558636	4.299164872579143	0.0	0.0	4.691530540077732	2.248528559973164	0.9010294103303946	0.9239103351633756	0.82867568766077	0.0	0.0	0.0	0.0	0.1743592675115881	0.001563865419631263	3.971812416966599E-4	6.1886991421251E-5	0.5207773293853408	1.9607672175515355E-4	0.0	56.481542077843315	0.012096872014873538	0.0018830306026809945	0.006965561421421854	0.0477191657374224	0.009226927457154468	2.3166152777156004E-7	4.828961986936633E-7	1.0774033117885915E-8	0.36666242571073404	0.01861210358420225	2.48
1989-11-10 07:30	0.0	2.7481138301700314	85.92513377742505	4.920903073020433	0.0	0.0	4.751687169843309	2.086969346582381	0.6582571153659037	0.6454826612837619	0.565772395324801	0.0	0.0	0.0	0.0	0.05901346757657804	0.001563865419631263	3.971812416966587E-4	1.1899152779271602E-18	0.5162796087660764	7.825437206878966E-5	0.0	56.036009701855285	0.0063731826150932955	8.259793683499965E-4	0.006882552442190076	0.04839891923254761	0.012579672994781332	5.27044724115507E-7	1.0613946652665523E-6	2.870479520787943E-8	0.3543138610539893	0.025376363918965084	2.3
1989-11-11 07:30	0.0	5.50276195254009	68.31380270075226	2.934068171823623	0.0	0.0	6.33060550836028	0.8471817240095589	1.0092786734022983	1.221327193534842	1.0909323117498813	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.5059620570165562	4.3000393770536714E-5	0.0	55.00558312394769	0.0044046985307464185	4.7383469508787177E-4	0.006728144788925643	0.048780824002868275	0.015439325856441003	9.454997199264435E-7	2.0017772733146847E-6	5.8875047136653574E-8	0.33912024974723465	0.031147063017888166	1.95
1989-11-12 07:30	0.0	5.792523476071556	63.9627602600365	1.0253787353462969	0.0	0.0	6.329868217024979	0.7311661967539509	0.5883615102878574	0.8342232780747578	0.7505391001049925	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.4984551183932394	3.0849287989625314E-5	0.0	54.25559890698594	0.0035516628123387016	2.961999053097909E-4	0.006530528298564875	0.049014944445591756	0.017442879557586152	1.4145567614278623E-6	3.314217159885308E-6	9.960155365804805E-8	0.3219341904367977	0.03519189059076609	1.79
1989-11-13 07:30	0.0	4.181727976474454	65.05164152271502	1.486553410451718	0.0	0.0	5.625852177004831	0.9564663742508394	0.7182099602355272	0.9604852553720229	0.8690573941630436	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.48975058031571345	2.4250738145714335E-5	0.0	53.38691802708707	0.002963094780905753	2.1032176170463025E-4	0.006307637069379771	0.04917848644707801	0.018494595068706536	1.8462723184831183E-6	4.917700506519836E-6	1.4600710130087753E-7	0.30370408838315643	0.0373173911400843	1.79
1989-11-14 07:30	0.0	4.69032297448832	64.5576888289114	2.5674222387495376	0.0	0.0	5.941809483240274	0.7267925134482748	0.9933792927524194	1.2549329207874969	1.1300309932651504	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.4784248191673702	1.9691031727226866E-5	0.0	52.257212367606634	0.0024829030837018036	1.5332456561760284E-4	0.0060675543214633205	0.049295314339555835	0.018688272000815884	2.178173034434403E-6	6.685613877311702E-6	1.9257878427534736E-7	0.2852848727845724	0.03771236524237669	1.64
1989-11-15 07:30	0.12071765045137316	4.521007494311494	82.96655552116033	2.9241066359908863	0.12071737883775131	2.716136218480777E-7	4.367435009278388	1.8090096884676965	0.6741628118110481	0.7255700538983327	0.6435923087976367	0.0	0.0	0.003851598324392498	0.11686605212698079	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.47317234684871207	1.9057745882896544E-5	0.0	51.73435118851439	0.0022532778056511024	1.2739125382414088E-4	0.0058183442998550414	0.04939118001303909	0.018227759125919462	2.3882778617089976E-6	8.498870053053575E-6	2.3529927204917265E-7	0.2674154815834936	0.03678768164169311	1.64
1989-11-16 07:30	0.0	0.38799783332881166	88.00607293892034	3.432288751574486	0.0	0.0	3.151154311821839	2.990176933509505	0.562443003878978	0.528611277939746	0.4511128007190434	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.4686346522888798	1.5693959968855716E-5	0.0	51.28341462917254	0.0019765557216401696	9.931483637427602E-5	0.0055633801024353785	0.04946300065205832	0.017311166349798835	2.4841575208834345E-6	1.0255881124682815E-5	2.7197516306967143E-7	0.2503749274851412	0.03494273241425284	1.64
1989-11-17 07:30	0.0	-0.9261350088511223	79.15698977858406	4.107651028683808	0.0	0.0	5.822371958612013	0.6578921414639556	0.5773041680872494	0.6427693572174058	0.5643864335958435	0.0	0.0	0.0	0.0	0.0	0.001563865419631263	3.971812416966587E-4	0.0	0.4629654676073999	1.3765339200764432E-5	0.0	50.71916143958164	0.0017593662331435174	8.293334860063074E-5	0.005306550662514789	0.04952071037253823	0.016141892665695587	2.490867697946463E-6	1.1904322055292658E-5	3.022987308010478E-7	0.23450140253406646	0.03258771611761976	1.36
