# J2K model output
# 
#date/time	precip	tmean	surfacetemp	soil_Tempaverage	rhum	wind	rain	snow	solRad	netRad	refET	potET	actET	netRain	netSnow	throughfall	interception	intercStorage	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actDPS	actMPS	actLPS	percolation	actRG1	actRG2	catchmentRD1_w	catchmentRD2_w	catchmentRG1_w	catchmentRG2_w	channelStorage_w	catchmentSimRunoff_qm	catchmentObsRunoff
1989-11-01 07:30	23.896626241768082	9.158576774720096	7.1131541565984335	0.0	94.44377525505483	3.4846220028459696	23.89662624176809	0.0	2.845866790620326	4.4589332305538605	0.7837489731747619	0.6592920421966362	0.6377832468541006	0.0	0.0	22.714896938144655	1.181729303623368	0.6690221812155931	0.0	0.0	0.0	0.24784721632362927	0.005487000493117607	0.0	22.246041823814814	0.18644134076364996	0.0	0.0	0.0	2.6221096092545273E-4	2.9223004643595327E-33	0.0	0.0	0.15707543815891645	5.288774596635064E-4	1.22
1989-11-02 07:30	4.373071913297832	9.378391541043344	7.266757240320354	0.0	91.77832025436093	2.453572018846063	4.373071913297832	0.0	3.7241954229333096	3.8610814808459404	0.8086540786369971	0.7395808135823543	0.7231864170716874	0.0	0.0	3.860364790890063	0.5127071224077738	0.6166913405881573	0.0	0.0	0.0	0.28521441505083633	0.01144598755213196	0.0	25.696509668315272	0.4086929813794044	3.5034972385722056E-13	6.087089659914513E-14	2.8795331435108465E-13	5.087762406813132E-4	1.4194187366311304E-9	1.1545289629014842E-38	1.6764680577536738E-42	0.18606351223592119	0.001026200565596332	2.66
1989-11-03 07:30	2.6863583269393074	9.37082299349416	7.367533550914403	0.0	93.15158131377257	2.886901390008944	2.6863583269393074	0.0	2.7415698582041377	4.387740831736681	0.8378423888401098	0.7322520096246267	0.7195214426691723	0.0	0.0	2.121320363904088	0.5650379630352107	0.6227269401876724	0.0	0.0	0.0	0.30457471343645204	0.014860276725935467	0.0	27.530344079969357	0.5162626464282553	3.0094433971825266E-7	5.6255708837103243E-8	2.4428662274149386E-7	5.867724926876314E-4	3.0274336033388025E-9	4.4774849193197165E-22	6.473864925696352E-25	0.20487364414148637	0.0011835216399007807	2.66
1989-11-04 07:30	3.6658319590299056	7.384309712405114	6.778012330408652	0.0	92.67852330941749	3.972273371230323	3.6658319590299056	0.0	2.7062676251054185	4.386378885811461	0.7808191013204184	0.6702407235159984	0.6611676409774081	0.0	0.0	3.1068295955942182	0.5590023634356952	0.6643707892579644	0.0	0.0	0.0	0.33600412165222127	0.015779673464434305	0.0	30.309039139806327	0.6795923281580067	6.542214793881422E-6	1.286238982645922E-6	5.548741211292778E-6	6.069060751416707E-4	4.9143061033025155E-9	3.868179752617683E-18	5.73178657426985E-21	0.22525592612961337	0.0012241347242240644	2.12
1989-11-05 07:30	1.4108535892077565	5.546349232815656	6.282176570046173	0.0	86.0979650137228	5.511150523188055	1.410566095737961	2.8749346979524914E-4	3.6380431582786175	3.6463563073962586	0.9174006802736765	0.8532747292179884	0.8381887201996069	0.0	0.0	0.9413252179601491	0.4695283712476095	0.5170114090076869	0.0	0.0	0.005310925510580766	0.3426337786444399	0.016599569534030155	0.0	30.95385438109159	0.7432298773269754	6.38671152405799E-6	2.4421940172271568E-6	1.0749494960113812E-5	6.213148606798493E-4	6.652944230063139E-9	3.8229749876595385E-16	5.784022727702276E-19	0.23619970671141102	0.0012532006389062167	1.95
1989-11-06 07:30	23.008864231570172	3.9970504795418877	5.5844560083349855	0.0	94.41885145584091	2.344446358424981	22.97240172916095	0.03646250240923274	2.5910914771391673	4.366500643598438	0.6507436537128953	0.5460140121344345	0.5457407217744772	0.0	0.0	22.344146336954406	0.66471789461568	0.735189550851268	0.0	0.0	0.6427166311860955	0.5252217380124069	0.11900896740481491	5.953469689307783E-4	48.020548892239894	5.014546055454548	0.0035933065812614735	4.0262846682495254E-4	0.0031923153623275194	0.002349433517759068	9.289960671058842E-6	1.9155698510034548E-10	1.3979986999297829E-11	1.1365985625945465	0.004757527243032862	1.79
1989-11-07 07:30	3.2255248939788435	3.256298952133348	5.502788785156156	0.0	93.15954409559741	2.6578299235983716	3.1159922179915642	0.1095326759872782	2.556337454441101	4.338451599211569	0.6540643861986941	0.554994911264296	0.5547513770010156	0.0	0.0	2.778985141206734	0.44653975277209945	0.7323930969713239	0.0	0.0	0.5793238786032723	0.5615929054761823	0.1016016658516281	0.0	51.2805165064546	4.32212207498199	0.006020371511863841	0.001135047230057233	0.008453918372590097	0.004853716452768472	1.6177099724409448E-4	7.160319045106848E-9	1.066568993291815E-9	1.232210729228722	0.010116215596748556	2.66
1989-11-08 07:30	0.5241735802754108	2.0019313284537903	4.808752967422462	0.0	87.85223737293585	4.371956152361433	0.38491203327483736	0.139261547000573	2.9776161486511863	3.933705567666645	0.7151458926348094	0.6465373102470583	0.6458684305465113	0.0	0.0	0.19802890711723214	0.3261446731581784	0.577149169097155	0.001785015506540419	4.590682331179109E-4	0.18082806409476618	0.5747271571397305	0.07425727645576323	0.0	52.353701020266406	3.243688447974532	0.004827059173325999	0.0017351580705559442	0.012638091655348006	0.01239021049071236	0.001912069047014244	1.1318115930225622E-7	2.0749197740475987E-8	1.2514631542031702	0.02884785622751953	2.66
1989-11-09 07:30	0.0	3.9256373933877473	5.499883079014005	0.0	79.75606121558636	4.299164872579143	0.0	0.0	4.691530540077732	2.248528559973164	0.9010294103303946	0.9239103351633756	0.9227090728127137	0.0	0.0	0.0	0.0	0.1743592675115881	0.001563865419631263	3.971812416966599E-4	6.1886991421251E-5	0.5804550778896952	0.05039918718415045	0.0	52.74076218510908	2.3150949889474406	0.0028227931479724035	0.0020888880601788065	0.015054529030269218	0.02699553416209643	0.010236827618746296	7.120977842931419E-7	1.3768894346675424E-7	1.2331347852278904	0.07509909684732438	2.48
1989-11-10 07:30	0.0	2.7481138301700314	5.004128532959786	0.0	85.92513377742505	4.920903073020433	0.0	0.0	4.751687169843309	2.086969346582381	0.6582571153659037	0.6454826612837619	0.644566924339768	0.0	0.0	0.0	0.0	0.05901346757657804	0.001563865419631263	3.971812416966587E-4	1.1899152779271602E-18	0.5828319824661605	0.03375990930998427	0.0	52.87700947862911	1.63506962779707	0.0018907561694822923	0.00231035984087461	0.016661360571423547	0.04094130915317606	0.027415104215711517	2.1889320414324755E-6	4.2440471166027675E-7	1.1775043984872462	0.13787962281038124	2.3
