# Thornthwaite model output
# 
time	daylength	potet	snowMelt	runoff	soilMoistStor
1989-11-01 07:30	9.604174654535178	15.42185766378425	0.0	75.0	178.71769543621576
1989-11-02 07:30	9.604174654535178	14.81441570579099	0.0	50.905302715212386	200.0
1989-11-03 07:30	9.604174654535178	17.50462374903593	0.0	33.08334083308822	200.0
1989-11-04 07:30	9.604174654535178	37.11863575458847	0.0	22.211129489249874	200.0
1989-11-05 07:30	9.604174654535178	43.60808921245156	0.0	64.59841063839916	200.0
1989-11-06 07:30	9.604174654535178	63.33201264755825	0.0	37.97120404542046	200.0
1989-11-07 07:30	9.604174654535178	67.25406325071164	0.0	61.262241897354414	200.0
1989-11-08 07:30	9.604174654535178	68.86895827922918	0.0	40.23741710906262	200.0
1989-11-09 07:30	9.604174654535178	57.333473077559134	0.0	21.76263716575174	200.0
1989-11-10 07:30	9.604174654535178	39.49283073055777	0.0	48.94812021759699	200.0
1989-11-11 07:30	9.604174654535178	25.25709273170095	0.0	24.474060108798493	188.17668506829904
1989-11-12 07:30	9.604174654535178	15.840595668624303	0.0	40.63962525423663	200.0
1989-11-13 07:30	9.604174654535178	14.979753983271937	0.0	20.319812627118313	195.03913541672807
1989-11-14 07:30	9.604174654535178	19.521939300122813	0.0	19.69194952186178	200.0
1989-11-15 07:30	9.604174654535178	25.77463498834043	0.0	41.94487476676068	200.0
1989-11-16 07:30	9.604174654535178	32.14374836068715	0.0	20.97243738338034	194.89313973931286
1989-11-17 07:30	9.604174654535178	44.723622578285145	0.0	47.33531277220402	200.0
1989-11-18 07:30	9.604174654535178	56.527329114124626	0.0	51.213436329039695	200.0
1989-11-19 07:30	9.604174654535178	66.7412276147324	0.0	58.99577835715364	200.0
1989-11-20 07:30	9.604174654535178	64.03882724706023	0.0	39.69892310504671	200.0
1989-11-21 07:30	9.604174654535178	49.763389254625494	0.0	65.3822109252106	200.0
1989-11-22 07:30	9.604174654535178	37.27523086308666	0.0	47.28515658106196	200.0
1989-11-23 07:30	9.604174654535178	21.580939455934647	0.0	59.82799966256367	200.0
1989-11-24 07:30	9.604174654535178	15.713794235443215	0.0	42.53232436356023	200.0
1989-11-25 07:30	9.604174654535178	13.329386949575975	0.0	29.220579756992134	200.0
1989-11-26 07:30	9.604174654535178	21.002423495273394	0.0	16.145855630859366	200.0
1989-11-27 07:30	9.604174654535178	22.35433924460343	0.0	16.608980693127965	200.0
1989-11-28 07:30	9.604174654535178	32.19299404199569	0.0	28.769882975566134	200.0
1989-11-29 07:30	9.604174654535178	56.096302122809504	0.0	14.384941487783067	192.1354788771905
1989-11-30 07:30	9.604174654535178	57.973361684437776	0.0	66.09452834026791	200.0
1989-12-01 07:30	8.957607286548047	65.13793205584034	0.0	42.89630124221378	200.0
1989-12-02 07:30	8.957607286548047	65.61331912577064	0.0	21.44815062110689	177.51023887422934
1989-12-03 07:30	8.957607286548047	46.58358598468282	0.0	49.24062425532671	200.0
1989-12-04 07:30	8.957607286548047	36.53326222306484	0.0	49.33612196613093	200.0
1989-12-05 07:30	8.957607286548047	21.477665778694334	0.0	36.8880064937183	200.0
1989-12-06 07:30	8.957607286548047	16.124812001544985	0.0	25.97437449608665	200.0
1989-12-07 07:30	8.957607286548047	0.0	0.0	12.987187248043325	200.0
1989-12-08 07:30	8.957607286548047	16.27983132705894	5.77144385	12.265037474021662	190.29594572294107
1989-12-09 07:30	8.957607286548047	24.811255216573443	2.885721925	17.12530649019465	200.0
1989-12-10 07:30	8.957607286548047	35.69025595149891	1.4428609625	21.141082569347873	200.0
1989-12-11 07:30	8.957607286548047	45.12708671587525	0.72143048125	17.28755367673631	200.0
1989-12-12 07:30	8.957607286548047	59.809334290801935	0.360715240625	17.67166584296719	200.0
1989-12-13 07:30	8.957607286548047	70.07780811176126	0.1803576203125	23.087040415602964	200.0
1989-12-14 07:30	8.957607286548047	68.0949012741725	0.09017881015625	11.543520207801482	170.9364288258275
1989-12-15 07:30	8.957607286548047	52.43148600315549	0.045089405078125	5.771760103900741	172.691611222672
1989-12-16 07:30	8.957607286548047	44.068884062177624	0.0225447025390625	2.8858800519503705	150.65021735902138
1989-12-17 07:30	8.957607286548047	23.195061865583522	0.01127235126953125	1.4429400259751852	169.64737049343785
1989-12-18 07:30	8.957607286548047	12.17574216087595	0.005636175634765625	0.7214700129875926	184.3109628325619
1989-12-19 07:30	8.957607286548047	15.656560847437031	0.0028180878173828124	0.3607350064937963	186.97062318512488
1989-12-20 07:30	8.957607286548047	14.692823670675775	0.0014090439086914062	12.721155160471438	200.0
1989-12-21 07:30	8.957607286548047	20.263893185811032	7.045219543457031E-4	25.495074237330194	200.0
1989-12-22 07:30	8.957607286548047	34.62733126503038	3.5226097717285155E-4	30.30242848614991	200.0
1989-12-23 07:30	8.957607286548047	44.782976975924605	1.7613048858642578E-4	56.18917275511266	200.0
1989-12-24 07:30	8.957607286548047	56.429324616728486	8.806524429321289E-5	36.97803806919209	200.0
1989-12-25 07:30	8.957607286548047	73.25899960081901	4.4032622146606444E-5	18.489019034596044	149.770333499181
1989-12-26 07:30	8.957607286548047	64.64127073031018	2.2016311073303222E-5	17.101155401733433	200.0
1989-12-27 07:30	8.957607286548047	47.647406800070485	1.1008155536651611E-5	36.69809630083149	200.0
1989-12-28 07:30	8.957607286548047	31.120459131832774	5.5040777683258055E-6	18.349048150415744	193.3199838681672
1989-12-29 07:30	8.957607286548047	22.956610485033348	2.7520388841629027E-6	61.07354176677481	200.0
1989-12-30 07:30	8.957607286548047	14.993893865257958	1.3760194420814514E-6	35.99382345075843	200.0
